# https://chainz.cryptoid.info/ and whois results
# Trollcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.108.95.148|/Trolloshi:2.1.0/|60030|133480|103.108.95.0/24|NZ|apnic|2018-01-25|INTERGRID-AS-AP Intergrid Group Pty Ltd, AU
104.238.132.233|/Trolloshi:2.1.0/|60030|20473|104.238.128.0/21|US|arin|2014-11-13|AS-CHOOPA, US
104.238.188.145|/Trolloshi:2.1.0/|60030|20473|104.238.188.0/22|US|arin|2014-11-13|AS-CHOOPA, US
107.184.53.218|/Trolloshi:2.1.0/|60030|20001|107.184.0.0/15|US|arin|2014-02-12|TWC-20001-PACWEST, US
107.191.39.242|/Trolloshi:2.1.0/|60030|20473|107.191.32.0/21|US|arin|2014-04-25|AS-CHOOPA, US
108.218.157.3|/Trolloshi:2.1.0/|60030|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.61.117.67|/Trolloshi:2.1.0/|60030|20473|108.61.117.0/24|US|arin|2010-12-08|AS-CHOOPA, US
128.1.208.30|/Trolloshi:2.0.0/|60020|21859|128.1.208.0/23|US|arin|2016-09-07|ZNET, US
144.91.99.72|/Trolloshi:2.1.0/|60030|51167|144.91.98.0/23|DE|ripencc|1990-11-20|CONTABO, DE
147.135.97.55|/Trolloshi:2.1.0/|60030|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
148.251.32.102|/Trolloshi:2.1.0/|60030|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
149.28.19.72|/Trolloshi:2.1.0/|60030|20473|149.28.16.0/20|US|arin|2018-05-04|AS-CHOOPA, US
167.86.127.223|/Trolloshi:2.1.0/|60030|51167|167.86.126.0/23|DE|ripencc|1993-05-14|CONTABO, DE
170.253.39.204|/Trolloshi:2.1.0/|60030|15704|170.253.32.0/20|ES|ripencc|2014-09-30|AS15704, ES
172.90.203.187|/Trolloshi:2.1.0/|60030|20001|172.88.0.0/14|US|arin|2015-05-15|TWC-20001-PACWEST, US
184.57.184.242|/Trolloshi:2.1.0/|60030|10796|184.57.128.0/17|US|arin|2009-12-08|TWC-10796-MIDWEST, US
185.117.74.45|/Trolloshi:2.1.0/|60030|60117|185.117.74.0/24|AE|ripencc|2015-09-14|HS, AE
188.35.131.171|/Trolloshi:2.0.0/|60020|34123|188.35.0.0/16|RU|ripencc|2009-03-31|NETORN-AS, RU
199.116.119.74|/Trolloshi:2.0.0/|60020|46562|199.116.119.0/24|US|arin|2012-03-08|PERFORMIVE, US
202.97.251.250|/Trolloshi:2.0.0/|60020|4837|202.97.192.0/18|CN|apnic|1997-08-19|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.97.251.251|/Trolloshi:2.0.0/|60020|4837|202.97.192.0/18|CN|apnic|1997-08-19|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
206.116.249.47|/Trolloshi:2.1.0/|60030|852|206.116.0.0/16|CA|arin|1995-08-18|ASN852, CA
212.102.48.73|/Trolloshi:2.1.0/|60030|60068|212.102.48.0/23|GB|ripencc|1999-06-10|CDN77 (^_^)/, GB
223.252.60.83|/Trolloshi:2.0.0/|60020|45671|223.252.0.0/18|AU|apnic|2010-07-27|AS45671-NET-AU Wholesale Services Provider, AU
24.2.150.92|/Trolloshi:2.1.0/|60030|7922|24.0.0.0/12|US|arin|2003-10-06|COMCAST-7922, US
24.217.226.202|/Trolloshi:2.1.0/|60030|20115|24.217.0.0/16|US|arin|1999-02-22|CHARTER-20115, US
24.77.178.79|/Trolloshi:2.1.0/|60030|6327|24.77.176.0/22|CA|arin|2000-12-15|SHAW, CA
31.16.94.68|/Trolloshi:2.1.0/|60030|3209|31.16.0.0/14|DE|ripencc|2011-03-24|VODANET International IP-Backbone of Vodafone, DE
37.120.138.171|/Trolloshi:2.1.0/|60030|9009|37.120.138.0/24|RO|ripencc|2012-02-13|M247, GB
37.120.151.202|/Trolloshi:2.0.0/|60020|9009|37.120.151.0/24|RO|ripencc|2012-02-13|M247, GB
45.236.101.112|/Trolloshi:2.0.0/|60020|266806|45.236.101.0/24|AR|lacnic|2018-05-09|DIAZ MARCELA ALEJANDRA(PATAGONIA DIGITAL), AR
45.63.74.124|/Trolloshi:2.1.0/|60030|20473|45.63.64.0/20|US|arin|2015-01-02|AS-CHOOPA, US
46.101.235.143|/Trolloshi:2.1.0/|60030|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.28.107.182|/Trolloshi:2.1.0/|60030|197019|46.28.104.0/21|CZ|ripencc|2010-07-22|WEDOS, CZ
5.184.247.80|/Trolloshi:2.1.0/|60030|5617|5.184.0.0/16|PL|ripencc|2012-08-08|TPNET, PL
5.9.10.66|/Trolloshi:2.1.0/|60030|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
65.102.140.122|/Trolloshi:2.1.0/|60030|209|65.102.128.0/18|US|arin|2001-01-03|CENTURYLINK-US-LEGACY-QWEST, US
66.55.78.57|/Trolloshi:2.1.0/|60030|8100|66.55.78.0/24|US|arin|2009-10-08|ASN-QUADRANET-GLOBAL, US
66.70.182.1|/Trolloshi:2.1.0/|60030|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
67.181.27.198|/Trolloshi:2.1.0/|60030|7922|67.160.0.0/11|US|arin|2002-12-16|COMCAST-7922, US
69.243.134.204|/Trolloshi:2.1.0/|60030|7922|69.240.0.0/12|US|arin|2004-02-11|COMCAST-7922, US
71.199.104.9|/Trolloshi:2.1.0/|60030|7922|71.192.0.0/12|US|arin|2005-07-27|COMCAST-7922, US
73.157.23.223|/Trolloshi:2.1.0/|60030|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.187.48.175|/Trolloshi:2.1.0/|60030|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
77.86.70.32|/Trolloshi:2.1.0/|60030|12390|77.86.0.0/17|GB|ripencc|2007-03-30|KINGSTON-UK-AS, GB
78.141.243.202|/Trolloshi:2.1.0/|60030|20473|78.141.224.0/19|US|ripencc|2007-07-30|AS-CHOOPA, US
78.145.131.199|/Trolloshi:2.1.0/|60030|13285|78.144.0.0/15|GB|ripencc|2007-05-10|OPALTELECOM-AS TalkTalk Communications Limited, GB
85.15.179.171|/Trolloshi:2.1.0/|60030|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
85.76.0.143|/Trolloshi:2.0.0/|60020|719|85.76.0.0/14|FI|ripencc|2004-10-08|ELISA-AS Helsinki, Finland, FI
