# https://chainz.cryptoid.info/ and whois results
# Trezarcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.100.112.210|/Trezarcoin:1.2.1/|70000|133527|103.100.112.0/22|HK|apnic|2017-09-06|HTIL-AS-AP HuaBo Technology International Limited, HK
103.95.120.116|/Trezarcoin:2.0.1/|70000|133275|103.95.120.0/24|IN|apnic|2017-06-21|GIGANTIC-AS Gigantic Infotel Pvt Ltd, IN
104.225.250.98|/Trezarcoin:1.2.0/|70000|53340|104.225.248.0/22|US|arin|2014-11-03|FIBERHUB, US
106.201.108.246|/Trezarcoin:1.2.0/|70000|24560|106.201.96.0/19|IN|apnic|2011-03-17|AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services, IN
106.202.9.43|/Trezarcoin:2.0.1/|70000|45609|106.202.8.0/22|IN|apnic|2011-03-17|BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service, IN
106.220.119.110|/Trezarcoin:2.0.1/|70000|45609|106.220.116.0/22|IN|apnic|2011-03-17|BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service, IN
107.131.146.208|/Trezarcoin:2.0.1/|70000|7018|107.128.0.0/12|US|arin|2013-10-23|ATT-INTERNET4, US
107.142.177.98|/Trezarcoin:2.0.1/|70000|7018|107.128.0.0/12|US|arin|2013-10-23|ATT-INTERNET4, US
112.216.30.90|/Trezarcoin:2.0.1/|70000|3786|112.216.0.0/13|KR|apnic|2009-02-16|LGDACOM LG DACOM Corporation, KR
119.194.83.150|/Trezarcoin:1.2.0/|70000|4766|119.192.0.0/13|KR|apnic|2008-02-26|KIXS-AS-KR Korea Telecom, KR
122.178.247.151|/Trezarcoin:1.2.0/|70000|24560|122.178.224.0/19|IN|apnic|2008-07-07|AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services, IN
124.120.29.28|/Trezarcoin:2.0.0/|70000|17552|124.120.0.0/18|TH|apnic|2006-02-16|TRUE-AS-AP True Internet Co.,Ltd., TH
124.157.91.222|/Trezarcoin:2.0.1/|70000|24324|124.157.64.0/19|NZ|apnic|2006-04-04|KORDIA-TRANSIT-AS-AP Kordia Limited, NZ
128.69.164.72|/Trezarcoin:2.0.1/|70000|8402|128.68.0.0/14|RU|ripencc|2011-10-31|CORBINA-AS OJSC _Vimpelcom_, RU
134.255.91.38|/Trezarcoin:1.2.1/|70000|5483|134.255.0.0/17|HU|ripencc|2011-11-07|MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt., HU
138.197.189.202|/Trezarcoin:2.0.0/|70000|14061|138.197.176.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.59.209.150|/Trezarcoin:2.0.0/|70000|14061|139.59.208.0/21|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
146.200.165.150|/Trezarcoin:1.0.0.0/|60016|6871|146.200.0.0/16|US|arin|1991-02-28|PLUSNET UK Internet Service Provider, GB
149.248.59.44|/Trezarcoin:2.0.1/|70000|20473|149.248.48.0/20|US|arin|2018-07-03|AS-CHOOPA, US
149.255.118.42|/Trezarcoin:2.0.0/|70000|56689|149.255.112.0/21|RU|ripencc|2011-08-29|ELTL-AS, RU
151.38.97.225|/Trezarcoin:2.0.1/|70000|1267|151.38.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, EU
151.82.146.7|/Trezarcoin:2.0.1/|70000|1267|151.82.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, EU
157.230.26.53|/Trezarcoin:2.0.0/|70000|14061|157.230.16.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
175.101.99.91|/Trezarcoin:2.0.1/|70000|17754|175.101.99.0/24|IN|apnic|2009-12-21|EXCELL-AS Excellmedia, IN
176.112.88.14|/Trezarcoin:2.0.1/|70000|49124|176.112.88.0/21|RU|ripencc|2012-03-22|CENTROSET-AS ISP CentroSet, RU
176.63.30.168|/Trezarcoin:2.0.1/|70000|6830|176.63.0.0/17|HU|ripencc|2011-06-08|LGI-UPC formerly known as UPC Broadband Holding B.V., AT
178.115.128.4|/Trezarcoin:2.0.1/|70000|25255|178.115.128.0/20|AT|ripencc|2010-01-12|H3G-AUSTRIA-AS ==) TELE2 AUSTRIA (==, AT
178.32.41.81|/Trezarcoin:1.2.0/|70000|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
182.180.53.204|/Trezarcoin:2.0.1/|70000|45595|182.176.0.0/12|PK|apnic|2010-04-12|PKTELECOM-AS-PK Pakistan Telecom Company Limited, PK
