# https://chainz.cryptoid.info/ and whois results
# UFO
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.248.242.34|/UFO:0.18.0/|70015|14061|104.248.240.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
107.147.43.190|/UFO:0.18.1/|70015|33363|107.147.0.0/17|US|arin|2013-11-06|BHN-33363, US
107.214.10.114|/UFO:0.17.0/|70015|7018|107.208.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
116.202.51.248|/UFO:0.18.1/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
13.95.1.50|/UFO:0.15.0/|70015|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
135.181.176.144|/UFO:0.18.1/|70015|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
135.181.211.44|/UFO:0.18.1/|70015|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.24.44.100|/UFO:0.18.1/|70015|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
138.68.173.13|/UFO:0.15.0/|70015|14061|138.68.160.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.59.142.252|/UFO:0.17.0/|70015|14061|139.59.128.0/19|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
149.28.203.157|/UFO:0.15.0/|70015|20473|149.28.192.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.56.155.28|/UFO:0.18.0/|70015|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
151.21.197.97|/UFO:0.18.0/|70015|1267|151.21.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, IT
154.72.167.239|/UFO:0.18.1/|70015|15964|154.72.167.0/24|CM|afrinic|2014-02-13|CAMNET-AS, CM
155.138.133.72|/UFO:0.17.0/|70015|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US
159.203.117.8|/UFO:0.18.1/|70015|14061|159.203.112.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.65.148.110|/UFO:0.18.1/|70015|14061|159.65.144.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
161.97.172.98|/UFO:0.18.1/|70015|51167|161.97.160.0/20|DE|ripencc|1992-06-23|CONTABO, DE
167.86.116.187|/UFO:0.18.0/|70015|51167|167.86.116.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.98.102|/UFO:0.18.0/|70015|51167|167.86.98.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.99.175.7|/UFO:0.18.1/|70015|14061|167.99.160.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
172.125.141.243|/UFO:0.18.1/|70015|7018|172.124.0.0/14|US|arin|2015-07-06|ATT-INTERNET4, US
176.115.101.112|/UFO:0.18.1/|70015|42126|176.115.96.0/21|UA|ripencc|2012-04-20|TISA, UA
178.205.245.88|/UFO:0.18.0/|70015|28840|178.205.245.0/24|RU|ripencc|2010-03-31|TATTELECOM-AS, RU
178.206.96.23|/UFO:0.18.0/|70015|28840|178.206.96.0/19|RU|ripencc|2010-03-31|TATTELECOM-AS, RU
178.67.193.45|/UFO:0.18.1/|70015|12389|178.67.192.0/22|RU|ripencc|2010-01-05|ROSTELECOM-AS, RU
184.146.128.154|/UFO:0.16.3/|70015|577|184.146.0.0/16|CA|arin|2010-04-12|BACOM, CA
185.220.100.254|/UFO:0.17.0/|70015|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.101.4|/UFO:0.13.0(ufocore)/|70015|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
188.166.227.187|/UFO:0.18.1/|70015||||||
188.166.72.211|/UFO:0.18.1/|70015|14061|188.166.64.0/18|US|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
188.60.134.224|/UFO:0.13.0/|70015|3303|188.60.0.0/16|CH|ripencc|2009-03-10|SWISSCOM Swisscom (Switzerland) Ltd, CH
195.201.160.242|/UFO:0.18.0/|70015|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
195.201.164.117|/UFO:0.18.1/|70015|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
208.38.200.241|/UFO:0.18.1/|70015|393436|208.38.200.0/23|US|arin|2010-02-23|SLVREC, US
209.126.13.96|/UFO:0.17.0/|70015|40021|209.126.0.0/20|US|arin|2020-03-02|CONTABO, US
209.127.17.242|/UFOmnicore:0.14.0/|70015|55286|209.127.16.0/20|CA|arin|2018-01-12|SERVER-MANIA, CA
212.102.44.82|/UFO:0.18.1/|70015|60068|212.102.44.0/23|GB|ripencc|1999-06-10|CDN77 (^_^)/, GB
212.90.62.201|/UFO:0.18.1/|70015|48239|212.90.32.0/19|UA|ripencc|2010-11-09|ITTV-AS Kiev, Ukraine, UA
213.93.172.131|/UFO:0.18.0/|70015|33915|213.93.128.0/17|NL|ripencc|2000-05-09|TNF-AS, NL
31.173.80.38|/UFO:0.18.1/|70015|25159|31.173.80.0/21|RU|ripencc|2011-04-04|SONICDUO-AS, RU
41.244.243.119|/UFO:0.18.1/|70015|37620|41.244.243.0/24|CM|afrinic|2013-09-16|VIETTEL-CM-AS, CM
41.244.243.127|/UFO:0.18.1/|70015|37620|41.244.243.0/24|CM|afrinic|2013-09-16|VIETTEL-CM-AS, CM
41.244.243.129|???|0|37620|41.244.243.0/24|CM|afrinic|2013-09-16|VIETTEL-CM-AS, CM
46.0.192.16|/UFO:0.17.0/|70015|34533|46.0.0.0/16|RU|ripencc|2010-08-10|ESAMARA-AS, RU
46.151.159.53|/UFO:0.18.1/|70015|50473|46.151.152.0/21|RU|ripencc|2010-12-06|ECO-AS, RU
46.23.35.70|/UFO:0.18.0/|70015|24651|46.23.32.0/20|LV|ripencc|2010-12-02|LVBALTICOM-AS, LV
5.29.145.52|/UFO:0.18.1/|70015|12849|5.29.144.0/23|IL|ripencc|2012-05-08|HOTNET-IL AMS-IX Admin LAN, IL
50.220.121.211|/UFO:0.18.0/|70015|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
51.38.57.53|/UFO:0.18.1/|70015|16276|51.38.0.0/16|FR|ripencc|1993-09-01|OVH, FR
52.214.47.146|/UFO:0.17.1/|70015|16509|52.208.0.0/13|US|arin|2015-09-02|AMAZON-02, US
66.64.93.102|/UFO:0.18.1/|70015|22163|66.64.64.0/19|US|arin|2006-05-26|TAMHSC, US
66.70.182.1|/UFO:0.18.0/|70015|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
70.91.250.149|/UFO:0.15.0/|70015|7922|70.88.0.0/14|US|arin|2004-08-09|COMCAST-7922, US
75.71.181.214|/UFO:0.18.1/|70015|7922|75.64.0.0/13|US|arin|2006-07-07|COMCAST-7922, US
76.125.37.136|/UFO:0.18.1/|70015|7922|76.96.0.0/11|US|arin|2007-01-02|COMCAST-7922, US
77.11.32.154|/Satoshi:0.12.0/|70007|6805|77.0.0.0/12|DE|ripencc|2006-11-21|TDDE-ASN1, DE
77.2.74.183|/UFO:0.18.1/|70015|6805|77.0.0.0/12|DE|ripencc|2006-11-21|TDDE-ASN1, DE
77.223.98.76|/UFO:0.13.0(ufocore)/|70015|50340|77.223.96.0/22|RU|ripencc|2007-04-23|SELECTEL-MSK, RU
79.114.58.103|/UFO:0.18.1/|70015|8708|79.112.0.0/14|RO|ripencc|2007-05-29|RCS-RDS 73-75 Dr. Staicovici, RO
79.223.83.84|/Satoshi:0.11.0/|70006|3320|79.192.0.0/10|DE|ripencc|2007-06-06|DTAG Internet service provider operations, DE
82.71.22.107|/UFO:0.18.1/|70015|13037|82.68.0.0/14|GB|ripencc|2003-04-28|ZEN-AS Zen Internet - UK, GB
83.102.204.69|/UFO:0.18.0/|70015|8402|83.102.128.0/17|RU|ripencc|2004-03-02|CORBINA-AS OJSC _Vimpelcom_, RU
89.107.36.33|/UFO:0.18.0/|70015|12494|89.107.32.0/21|RU|ripencc|2009-05-19|ASN-POSTLTD, RU
89.187.1.234|/UFO:0.18.1/|70015|39810|89.187.0.0/23|UA|ripencc|2006-04-25|UA-WICOM WiMAX Ukraine Autonomous System, UA
90.255.229.5|/UFO:0.18.0/|70015|5378|90.252.0.0/14|GB|ripencc|2006-09-08|Vodafone, GB
91.197.191.242|/UFO:0.18.0/|70015|197535|91.197.191.0/24|RU|ripencc|2011-01-20|SVYAZENERGO-AS, RU
