# https://chainz.cryptoid.info/ and whois results
# Veles
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.102.44.59|/BlockchainBaracuda:0.18.1.3/|80010|23734|103.102.44.0/24|GI|apnic|2017-10-11|NETROUTINGINC-AS-AP Netrouting Inc, US
104.154.145.8|/BlockchainBaracuda:0.18.1.3/|80010|15169|104.154.128.0/19|US|arin|2014-07-09|GOOGLE, US
104.207.146.229|/BlockchainBaracuda:0.18.1.3/|80010|20473|104.207.144.0/22|US|arin|2014-10-01|AS-CHOOPA, US
107.179.18.21|/BlockchainBaracuda:0.18.1.3/|80010|46573|107.179.18.0/24|US|arin|2014-01-27|LAYER-HOST, US
136.24.44.100|/BlockchainBaracuda:0.18.2/|80010|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
136.244.116.200|/BlockchainBaracuda:0.18.2/|80010|20473|136.244.112.0/20|US|arin|2019-04-08|AS-CHOOPA, US
138.201.4.31|/BlockchainBaracuda:0.18.1.3/|80010|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
14.120.114.250|/BlockchainBaracuda:0.18.1.3/|80010|4134|14.112.0.0/12|CN|apnic|2010-09-06|CHINANET-BACKBONE No.31,Jin-rong Street, CN
144.91.77.184|/BlockchainBaracuda:0.18.1.3/|80010|51167|144.91.76.0/23|DE|ripencc|1990-11-20|CONTABO, DE
149.172.125.239|/BlockchainBaracuda:0.18.1.99/|80010|6830|149.172.0.0/17|DE|ripencc|2011-08-03|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
154.209.11.10|???|0|136950|154.209.11.0/24|SC|afrinic|2016-09-23|HIITL-AS-AP Hong Kong FireLine Network LTD, HK
154.209.11.3|???|0|136950|154.209.11.0/24|SC|afrinic|2016-09-23|HIITL-AS-AP Hong Kong FireLine Network LTD, HK
154.209.11.8|???|0|136950|154.209.11.0/24|SC|afrinic|2016-09-23|HIITL-AS-AP Hong Kong FireLine Network LTD, HK
154.209.168.12|???|0|133201|154.209.128.0/18|SC|afrinic|2016-09-23|COMING-AS ABCDE GROUP COMPANY LIMITED, HK
161.129.67.110|/BlockchainBaracuda:0.18.1.3/|80010|8100|161.129.64.0/22|US|arin|2018-03-29|ASN-QUADRANET-GLOBAL, US
161.97.133.242|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.136.250|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.136.252|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.136.254|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.137.0|/BlockchainBaracuda:0.18.1.2/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.137.64|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.141.72|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.141.73|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.158.229|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.158.3|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.158.5|/BlockchainBaracuda:0.18.1.3/|80010|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
165.73.111.92|/BlockchainBaracuda:0.18.1.3/|80010|37611|165.73.0.0/17|ZA|afrinic|2017-06-02|Afrihost, ZA
167.86.85.58|/BlockchainBaracuda:0.18.2/|80010|51167|167.86.84.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.249.23.243|/BlockchainBaracuda:0.18.1.3/|80010|51167|173.249.22.0/23|DE|ripencc|2010-05-26|CONTABO, DE
176.9.78.10|/BlockchainBaracuda:0.18.1.3/|80010|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.63.11.230|/BlockchainBaracuda:0.18.1.3/|80010|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
178.63.9.83|/BlockchainBaracuda:0.18.1.3/|80010|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
185.118.164.191|/BlockchainBaracuda:0.18.1.3/|80010|44493|185.118.164.0/22|RU|ripencc|2015-09-23|CHELYABINSK-SIGNAL-AS, RU
185.118.167.50|/BlockchainBaracuda:0.18.1.3/|80010|44493|185.118.164.0/22|RU|ripencc|2015-09-23|CHELYABINSK-SIGNAL-AS, RU
185.141.61.112|???|0|44901|185.141.61.0/24|BG|ripencc|2018-02-23|BELCLOUD, BG
185.177.59.31|???|0|44901|185.177.59.0/24|BG|ripencc|2016-11-10|BELCLOUD, BG
185.203.118.165|???|0|44901|185.203.118.0/24|CY|ripencc|2017-05-12|BELCLOUD, BG
185.205.210.169|???|0|44901|185.205.210.0/24|CY|ripencc|2017-05-29|BELCLOUD, BG
185.205.210.52|???|0|44901|185.205.210.0/24|CY|ripencc|2017-05-29|BELCLOUD, BG
185.205.210.54|???|0|44901|185.205.210.0/24|CY|ripencc|2017-05-29|BELCLOUD, BG
185.234.72.42|/BlockchainBaracuda:0.18.1.3/|80010|30823|185.234.72.0/24|NL|ripencc|2017-11-28|COMBAHTON combahton GmbH, DE
185.245.96.135|/BlockchainBaracuda:0.18.1.3/|80010|31400|185.245.96.0/24|DE|ripencc|2018-02-08|ACCELERATED-IT, DE
185.245.96.148|/BlockchainBaracuda:0.18.1.3/|80010|31400|185.245.96.0/24|DE|ripencc|2018-02-08|ACCELERATED-IT, DE
188.40.78.31|/BlockchainBaracuda:0.18.1.3/|80010|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
192.222.229.98|/BlockchainBaracuda:0.18.2/|80010|1403|192.222.224.0/19|CA|arin|2012-12-20|EBOX, CA
193.28.233.91|/Satoshi:0.18.1/|80010|42845|193.28.233.0/24|FR|ripencc|2004-04-29|BRETAGNETELECOM, FR
193.37.214.81|???|0|44901|193.37.214.0/24|BG|ripencc|2018-10-22|BELCLOUD, BG
193.70.35.154|/BlockchainBaracuda:0.18.2/|80010|16276|193.70.0.0/17|FR|ripencc|1993-09-01|OVH, FR
193.87.75.150|/BlockchainBaracuda:0.18.1.3/|80010|2607|193.87.0.0/16|SK|ripencc|1993-09-01|SANET Slovak Academic Network, SK
