# https://chainz.cryptoid.info/ and whois results
# VeriCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.185.174.246|/Veritoshi:1.7.2/|70012|20001|107.184.0.0/15|US|arin|2014-02-12|TWC-20001-PACWEST, US
109.206.213.143|/Veritoshi:1.7.2/|70012|41966|109.206.192.0/19|PL|ripencc|2010-02-08|SKYNET, PL
141.126.79.80|/Veritoshi:1.7.2/|70012|20115|141.126.64.0/18|US|arin|2017-01-31|CHARTER-20115, US
158.222.237.129|/Veritoshi:1.7.2/|70012|12271|158.222.128.0/17|US|arin|2014-06-26|TWC-12271-NYC, US
167.99.41.231|/Veritoshi:1.7.2/|70012|14061|167.99.32.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
173.16.223.49|/Veritoshi:1.7.2/|70012|30036|173.16.220.0/22|US|arin|2008-05-19|MEDIACOM-ENTERPRISE-BUSINESS, US
173.168.220.151|/Veritoshi:1.7.2/|70012|33363|173.168.0.0/14|US|arin|2009-04-14|BHN-33363, US
177.189.252.27|/Veritoshi:1.7.2/|70012|27699|177.188.0.0/15|BR|lacnic|2012-08-20|TELEFONICA BRASIL S.A, BR
206.189.145.110|/Veritoshi:1.7.2/|70012|14061|206.189.144.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.209.81|/Veritoshi:1.7.2/|70012|14061|206.189.208.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.59.89|/Veritoshi:1.7.2/|70012|14061|206.189.48.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
209.194.162.2|/Veritoshi:1.7.2/|70012|3549|209.194.0.0/16|US|arin|1997-12-24|LVLT-3549, US
217.62.220.101|/Veritoshi:1.7.2/|70012|33915|217.62.128.0/17|NL|ripencc|2000-11-23|TNF-AS, NL
24.217.226.202|/Veritoshi:1.7.2/|70012|20115|24.217.0.0/16|US|arin|1999-02-22|CHARTER-20115, US
5.9.121.99|/Veritoshi:1.7.2/|70012|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
5.95.44.180|/Veritoshi:1.7.2/|70012|30722|5.95.32.0/19|IT|ripencc|2012-06-19|VODAFONE-IT-ASN, IT
54.37.42.45|/Veritoshi:1.7.2/|70012|16276|54.37.0.0/16|FR|ripencc|1992-03-17|OVH, FR
58.178.107.12|/Veritoshi:1.7.2/|70012|9443|58.178.96.0/20|AU|apnic|2005-06-15|VOCUS-RETAIL-AU Vocus Retail, AU
66.189.84.50|/Veritoshi:1.7.2/|70012|20115|66.189.0.0/17|US|arin|2001-10-24|CHARTER-20115, US
68.56.158.194|/Veritoshi:1.7.2/|70012|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
71.234.64.181|/Veritoshi:1.7.2/|70012|7922|71.224.0.0/12|US|arin|2005-04-15|COMCAST-7922, US
80.229.22.65|/Veritoshi:1.7.2/|70012|6871|80.229.0.0/16|GB|ripencc|2003-10-17|PLUSNET UK Internet Service Provider, GB
85.70.100.38|/Veritoshi:1.7.1/|70012|5610|85.70.0.0/17|CZ|ripencc|2004-11-02|O2-CZECH-REPUBLIC, CZ
86.213.187.100|/Veritoshi:1.7.2/|70012|3215|86.213.0.0/16|FR|ripencc|2005-03-02|France Telecom - Orange, FR
86.83.196.217|/Veritoshi:1.7.2/|70012|1136|86.80.0.0/12|NL|ripencc|2005-03-23|KPN KPN National, EU
87.173.69.68|/Veritoshi:1.7.2/|70012|3320|87.128.0.0/10|DE|ripencc|2006-03-30|DTAG Internet service provider operations, DE
95.217.78.168|/Veritoshi:1.7.2/|70012|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
97.101.11.108|/Veritoshi:1.7.2/|70012|33363|97.100.0.0/14|US|arin|2007-04-09|BHN-33363, US
98.116.110.239|???|0|701|98.116.0.0/16|US|arin|2008-04-02|UUNET, US
98.164.220.236|/Veritoshi:1.7.2/|70012|22773|98.164.192.0/18|US|arin|2007-07-20|ASN-CXA-ALL-CCI-22773-RDC, US
