# https://chainz.cryptoid.info/ and whois results
# Verium
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
106.46.77.51|/Veritoshi:1.2/|80001|4134|106.46.0.0/16|CN|apnic|2011-03-18|CHINANET-BACKBONE No.31,Jin-rong Street, CN
108.161.24.134|/Verium:1.3.1/|80003|31939|108.161.16.0/20|US|arin|2011-10-19|GM-ATL, US
109.100.227.147|/Verium:1.3.2/|80004|9050|109.100.0.0/16|RO|ripencc|2009-07-21|RTD Bucharest, Romania, RO
110.137.102.84|/Veritoshi:1.1/|80001|7713|110.137.100.0/22|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
126.227.179.87|/Veritoshi:1.2/|80001|17676|126.227.0.0/16|JP|apnic|2005-02-08|GIGAINFRA Softbank BB Corp., JP
128.199.60.130|/Satoshi:0.16.3/|80001|14061|128.199.32.0/19|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
136.30.100.174|/Veritoshi:1.2/|80001|19165|136.30.0.0/17|US|arin|2016-10-31|WEBPASS, US
14.11.147.128|/Verium:1.3.1/|80003|2516|14.10.0.0/15|JP|apnic|2010-08-17|KDDI KDDI CORPORATION, JP
142.0.25.212|/Verium:1.3.2/|80004|54139|142.0.25.0/24|CA|arin|2012-05-29|CONNEXIO, CA
142.114.222.15|/Verium:1.3.2/|80004|577|142.114.0.0/16|CA|arin|1993-04-05|BACOM, CA
142.4.209.39|/Veritoshi:1.1/|80001|16276|142.4.192.0/19|CA|arin|2012-07-23|OVH, FR
147.32.84.59|/Verium:1.3.1/|80003|2852|147.32.0.0/15|CZ|ripencc|1991-06-18|CESNET2, CZ
154.66.35.125|/Veritoshi:1.1/|80001|37637|154.66.32.0/22|NG|afrinic|2013-10-10|Smile-Nigeria-AS, NG
154.66.39.51|/Veritoshi:1.1/|80001|37637|154.66.38.0/23|NG|afrinic|2013-10-10|Smile-Nigeria-AS, NG
156.146.57.60|/Veritoshi:1.2/|80001|60068|156.146.56.0/23|GB|ripencc|1990-02-05|CDN77, GB
158.58.134.134|/Verium:1.3.2/|80004|47586|158.58.128.0/21|RU|ripencc|2011-11-09|BUSINESS-SVYAZ, RU
159.203.58.37|/Veritoshi:1.1/|80001|14061|159.203.56.0/21|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
167.100.70.30|/Veritoshi:1.2/|80001|29974|167.100.64.0/19|CA|arin|2018-10-26|WIGHT-AS, CA
167.99.41.231|/Veritoshi:1.2/|80001|14061|167.99.32.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
173.22.165.63|/Veritoshi:1.2/|80001|30036|173.22.160.0/21|US|arin|2008-05-19|MEDIACOM-ENTERPRISE-BUSINESS, US
173.45.177.44|/Verium:1.3.1/|80003|26269|173.45.177.0/24|US|arin|2009-12-03|HAEFELETV, US
184.163.48.112|/Veritoshi:1.2/|80001|5769|184.163.0.0/18|CA|arin|2010-06-21|VIDEOTRON, CA
184.170.255.237|/Verium:1.3.2/|80004|46562|184.170.255.0/24|US|arin|2011-08-30|PERFORMIVE, US
184.67.81.238|/Veritoshi:1.2/|80001|6327|184.67.64.0/19|CA|arin|2010-01-15|SHAW, CA
185.107.15.210|/Veritoshi:1.2/|80001|204151|185.107.12.0/22|DK|ripencc|2015-07-01|KVIKNET-, DK
188.243.113.127|/Verium:1.3.1/|80003|35807|188.242.0.0/15|RU|ripencc|2009-06-23|SKYNET-SPB-AS, RU
192.252.213.210|/Verium:1.3.2/|80004|46562|192.252.213.0/24|US|arin|2013-07-03|PERFORMIVE, US
193.215.10.196|/Verium:1.3.1/|80003|2119|193.212.0.0/14|NO|ripencc|1997-02-12|TELENOR-NEXTEL Telenor Norge AS, NO
194.132.222.219|/Verium:1.3.1/|80003|197623|194.132.216.0/21|SE|ripencc|1995-01-17|KOPINGS-KABEL-TV, SE
194.59.251.62|/Veritoshi:1.2/|80001|9009|194.59.251.0/24|RO|ripencc|2018-07-31|M247, GB
194.99.105.99|/Verium:1.3.2/|80004|9009|194.99.105.0/24|RO|ripencc|2018-05-23|M247, GB
195.9.113.126|/Veritoshi:1.2/|80001|25513|195.9.0.0/16|RU|ripencc|1996-10-02|ASN-MGTS-USPD, RU
2.35.56.17|/Verium:1.3.2/|80004|30722|2.34.0.0/15|IT|ripencc|2010-04-29|VODAFONE-IT-ASN, IT
202.171.78.5|/Veritoshi:1.2/|80001|17480|202.171.64.0/20|NC|apnic|2001-01-12|CANL CANL, NC
203.118.129.241|/Verium:1.3.2/|80004|9500|203.118.128.0/18|NZ|apnic|2002-10-09|VODAFONE-TRANSIT-AS Vodafone NZ Ltd., NZ
206.189.145.110|/Veritoshi:1.2/|80001|14061|206.189.144.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.209.81|/Veritoshi:1.2/|80001|14061|206.189.208.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.59.89|/Veritoshi:1.2/|80001|14061|206.189.48.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
209.50.144.107|/Verium:1.3.2/|80004|3737|209.50.128.0/19|US|arin|1997-04-02|AS-PTD, US
213.115.245.220|/Veritoshi:1.2/|80001|2119|213.112.0.0/14|SE|ripencc|2000-12-15|TELENOR-NEXTEL Telenor Norge AS, NO
213.239.193.15|/Verium:1.3.2/|80004|24940|213.239.192.0/18|DE|ripencc|2003-05-28|HETZNER-AS, DE
217.128.43.59|/Verium:1.3.2/|80004|3215|217.128.0.0/16|FR|ripencc|2001-01-15|France Telecom - Orange, FR
223.206.234.222|/Verium:1.3.2/|80004|45629|223.206.0.0/16|TH|apnic|2010-07-12|JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
23.242.19.120|/Verium:1.3.2/|80004|20001|23.240.0.0/14|US|arin|2013-09-20|TWC-20001-PACWEST, US
24.147.24.45|/Verium:1.3.1/|80003|7922|24.147.0.0/16|US|arin|1999-10-13|COMCAST-7922, US
24.186.208.247|/Veritoshi:1.2/|80001|6128|24.184.0.0/14|US|arin|2000-12-12|CABLE-NET-1, US
31.173.82.87|/Verium:1.3.1/|80003|25159|31.173.80.0/21|RU|ripencc|2011-04-04|SONICDUO-AS, RU
31.173.84.226|/Verium:1.3.1/|80003|25159|31.173.80.0/21|RU|ripencc|2011-04-04|SONICDUO-AS, RU
31.184.192.76|/Verium:1.3.0/|80002|34665|31.184.192.0/23|RU|ripencc|2011-03-04|PINDC-AS, RU
45.11.2.106|/Verium:1.3.1/|80003|9009|45.11.2.0/24|US|ripencc|2019-04-25|M247, GB
45.77.72.49|/Veritoshi:1.0.4/|80001|20473|45.77.72.0/22|US|arin|2015-04-24|AS-CHOOPA, US
46.27.145.42|/Veritoshi:1.1/|80001|12430|46.24.0.0/14|ES|ripencc|2010-07-16|VODAFONE_ES, ES
46.88.96.244|/Verium:1.3.1/|80003|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
46.91.165.170|/Verium:1.3.1/|80003|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
46.94.84.224|/Veritoshi:1.2/|80001|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
46.94.95.231|/Veritoshi:1.2/|80001|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
46.95.219.236|/Veritoshi:1.2/|80001|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
5.104.182.115|/Verium:1.3.2/|80004|34524|5.104.176.0/21|BG|ripencc|2012-06-29|DIGICOM-AS, BG
5.114.236.189|/Veritoshi:1.2/|80001|44244|5.114.224.0/20|IR|ripencc|2012-06-29|IRANCELL-AS, IR
51.175.245.151|/Veritoshi:1.2/|80001|29695|51.174.0.0/15|NO|ripencc|1993-09-01|ALTIBOX_AS Norway, NO
51.175.76.190|/Verium:1.3.2/|80004|29695|51.174.0.0/15|NO|ripencc|1993-09-01|ALTIBOX_AS Norway, NO
51.219.172.240|/Verium:1.3.2/|80004|31655|51.219.0.0/16|GB|ripencc|1993-09-01|ASN-GAMMATELECOM, GB
51.89.59.21|/Verium:1.3.2/|80004|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.89.59.23|/Verium:1.3.2/|80004|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.89.59.25|/Verium:1.3.2/|80004|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
52.54.14.27|/Veritoshi:1.2/|80001|14618|52.54.0.0/15|US|arin|2015-09-02|AMAZON-AES, US
54.37.42.45|/Verium:1.3.2/|80004|16276|54.37.0.0/16|FR|ripencc|1992-03-17|OVH, FR
62.210.204.84|/Veritoshi:1.1/|80001|12876|62.210.0.0/16|FR|ripencc|2000-10-26|Online SAS, FR
62.28.23.75|/Verium:1.3.1/|80003|15525|62.28.0.0/16|PT|ripencc|2006-06-08|MEO-EMPRESAS, PT
65.189.250.250|/Verium:1.3.1/|80003|10796|65.189.224.0/19|US|arin|2004-04-07|TWC-10796-MIDWEST, US
66.189.84.50|/Veritoshi:1.2/|80001|20115|66.189.0.0/17|US|arin|2001-10-24|CHARTER-20115, US
66.70.182.1|/Verium:1.3.1/|80003|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
66.74.176.19|/Verium:1.3.2/|80004|20001|66.74.0.0/15|US|arin|2001-01-30|TWC-20001-PACWEST, US
67.82.163.138|/Veritoshi:1.2/|80001|6128|67.80.0.0/13|US|arin|2001-11-09|CABLE-NET-1, US
68.181.17.42|/Verium:1.3.1/|80003|47|68.181.0.0/16|US|arin|2005-04-05|USC-AS, US
68.36.60.112|/Verium:1.3.2/|80004|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
68.69.166.145|/Verium:1.3.2/|80004|6315|68.69.160.0/20|US|arin|2009-04-02|XMISSION, US
68.93.142.101|/Verium:1.3.1/|80003|7018|68.88.0.0/13|US|arin|2003-02-12|ATT-INTERNET4, US
69.180.65.143|/Verium:1.3.2/|80004|7922|69.180.0.0/15|US|arin|2004-02-18|COMCAST-7922, US
70.91.129.61|/Verium:1.3.1/|80003|7922|70.88.0.0/14|US|arin|2004-08-09|COMCAST-7922, US
72.197.99.243|/Veritoshi:1.0.4/|80001|22773|72.197.0.0/16|US|arin|2005-08-03|ASN-CXA-ALL-CCI-22773-RDC, US
72.24.157.201|/Verium:1.3.2/|80004|11492|72.24.157.0/24|US|arin|2004-12-14|CABLEONE, US
73.153.106.238|/Veritoshi:1.2/|80001|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.231.10.63|/Verium:1.3.1/|80003|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
74.123.46.23|/Verium:1.3.1/|80003|16433|74.123.44.0/22|US|arin|2019-08-28|NCTC-ISP, US
74.134.216.93|/Veritoshi:1.1/|80001|10796|74.128.0.0/12|US|arin|2006-04-07|TWC-10796-MIDWEST, US
74.139.240.244|/Veritoshi:1.2/|80001|10796|74.128.0.0/12|US|arin|2006-04-07|TWC-10796-MIDWEST, US
74.192.146.131|/Verium:1.3.1/|80003|19108|74.192.0.0/16|US|arin|2006-09-27|SUDDENLINK-COMMUNICATIONS, US
75.119.251.221|/Verium:1.3.2/|80004|5645|75.119.224.0/19|CA|arin|2008-08-01|TEKSAVVY, CA
75.129.134.94|/Verium:1.3.2/|80004|20115|75.129.128.0/19|US|arin|2006-07-17|CHARTER-20115, US
77.144.246.31|/Verium:1.3.1/|80003|15557|77.144.0.0/12|FR|ripencc|2010-08-31|LDCOMNET, FR
77.162.159.137|/Verium:1.3.2/|80004|1136|77.160.0.0/13|NL|ripencc|2006-11-02|KPN KPN National, EU
79.181.223.121|/Verium:1.3.1/|80003|8551|79.181.223.0/24|IL|ripencc|2007-06-14|BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
79.20.51.39|/Veritoshi:1.2/|80001|3269|79.20.0.0/15|IT|ripencc|2007-02-21|ASN-IBSNAZ, IT
80.101.129.221|/Verium:1.3.2/|80004|3265|80.100.0.0/15|NL|ripencc|2001-07-16|XS4ALL-NL Amsterdam, NL
80.187.109.226|/Verium:1.3.0/|80002|3320|80.187.0.0/16|DE|ripencc|2002-05-28|DTAG Internet service provider operations, DE
81.95.126.221|/Veritoshi:1.1/|80001|42160|81.95.124.0/22|BE|ripencc|2006-05-22|LCPDCO LCP AS dc oostkamp, BE
