# https://chainz.cryptoid.info/ and whois results
# Vertcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.252.19.245|/Satoshi:0.17.1/|70015|9318|1.248.0.0/13|KR|apnic|2010-07-19|SKB-AS SK Broadband Co Ltd, KR
100.0.166.140|/Satoshi:0.17.1/|70015|701|100.0.0.0/16|US|arin|2010-12-28|UUNET, US
101.166.128.251|/Satoshi:0.17.1/|70015|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.30.70.30|/Satoshi:0.17.1/|70015|4837|101.16.0.0/12|CN|apnic|2010-12-10|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
103.6.139.246|/Satoshi:0.12.0/|70015|9381|103.6.136.0/22|HK|apnic|2012-02-27|HKBNES-AS-AP HKBN Enterprise Solutions HK Limited, HK
104.148.168.126|/Satoshi:0.17.1/|70015|6128|104.148.128.0/17|US|arin|2014-07-15|CABLE-NET-1, US
104.195.143.16|/Satoshi:0.17.1/|70015|5645|104.195.128.0/17|CA|arin|2014-09-04|TEKSAVVY, CA
104.63.108.5|/Satoshi:0.17.1/|70015|7018|104.48.0.0/12|US|arin|2014-05-06|ATT-INTERNET4, US
107.185.174.246|/Satoshi:0.17.1/|70015|20001|107.184.0.0/15|US|arin|2014-02-12|TWC-20001-PACWEST, US
107.214.107.14|/Satoshi:0.17.1/|70015|7018|107.208.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
108.198.250.184|/Satoshi:0.17.1/|70015|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
109.158.231.53|/Satoshi:0.17.1/|70015|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.49.52.37|/Satoshi:0.17.1/|70015|2860|109.49.0.0/18|PT|ripencc|2009-10-19|NOS_COMUNICACOES, PT
109.60.18.143|/Satoshi:0.17.1/|70015|31012|109.60.0.0/17|HR|ripencc|2009-12-11|DCM-AS Vipnet d.o.o., HR
110.54.251.124|/Satoshi:0.17.1/|70015|132199|110.54.251.0/24|PH|apnic|2009-03-25|GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc., PH
111.41.38.187|/Satoshi:0.17.1/|70015|132525|111.41.32.0/20|CN|apnic|2009-05-06|CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited, CN
112.98.101.158|/Satoshi:0.17.1/|70015|4134|112.98.0.0/15|CN|apnic|2009-01-12|CHINANET-BACKBONE No.31,Jin-rong Street, CN
113.172.106.43|/Satoshi:0.17.1/|70015|45899|113.172.96.0/20|VN|apnic|2008-11-04|VNPT-AS-VN VNPT Corp, VN
116.14.98.28|/Satoshi:0.17.1/|70015|9506|116.14.0.0/17|SG|apnic|2007-03-27|SINGTEL-FIBRE Singtel Fibre Broadband, SG
116.202.129.35|/Satoshi:0.17.1/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.132.28|/Satoshi:0.17.1/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.22.162.68|/Satoshi:0.17.1/|70015|4134|116.16.0.0/12|CN|apnic|2007-03-07|CHINANET-BACKBONE No.31,Jin-rong Street, CN
116.255.11.163|/Satoshi:0.17.1/|70015|38195|116.255.10.0/23|AU|apnic|2007-04-04|SUPERLOOP-AS-AP Superloop, AU
119.0.220.12|/Satoshi:0.17.1/|70015|4134|119.0.0.0/15|CN|apnic|2007-11-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
120.148.1.248|/Satoshi:0.17.1/|70015|1221|120.144.0.0/13|AU|apnic|2008-04-09|ASN-TELSTRA Telstra Corporation Ltd, AU
120.159.227.123|/Satoshi:0.17.1/|70015|135887|120.159.0.0/16|AU|apnic|2009-04-20|TELSTRA-BELONG-AP Belong (Telstra Corporation), AU
122.148.196.53|/Satoshi:0.17.1/|70015|9443|122.148.192.0/19|AU|apnic|2007-01-05|VOCUS-RETAIL-AU Vocus Retail, AU
122.199.49.90|/Satoshi:0.17.1/|70015|38195|122.199.49.0/24|AU|apnic|2006-09-19|SUPERLOOP-AS-AP Superloop, AU
122.2.111.157|/Satoshi:0.17.1/|70015|9299|122.2.96.0/19|PH|apnic|2006-09-28|IPG-AS-AP Philippine Long Distance Telephone Company, PH
125.59.13.11|/Satoshi:0.17.1/|70015|9908|125.59.0.0/20|HK|apnic|2005-08-29|HKCABLE2-HK-AP HK Cable TV Ltd, HK
135.180.91.70|/Satoshi:0.17.1/|70015|46375|135.180.0.0/16|US|arin|2013-05-10|AS-SONICTELECOM, US
136.33.248.6|/Satoshi:0.17.1/|70015|16591|136.33.240.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
136.50.62.178|/Satoshi:0.17.1/|70015|16591|136.50.48.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
136.53.88.111|/Satoshi:0.12.0/|70015|16591|136.53.80.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
136.56.5.70|/Satoshi:0.17.1/|70015|16591|136.56.0.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
136.60.140.65|/Satoshi:0.17.1/|70015|16591|136.60.128.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
137.103.6.207|/Satoshi:0.17.1/|70015|11776|137.103.0.0/21|US|arin|2016-10-10|ATLANTICBB-JOHNSTOWN, US
137.119.68.110|/Satoshi:0.17.1/|70015|21515|137.119.64.0/20|US|arin|1989-11-21|NET-SISQTEL-NET1, US
138.49.3.49|/Satoshi:0.12.0/|70015|3128|138.49.0.0/16|US|arin|1990-02-06|BRUWS-AS3128, US
139.162.155.117|/Satoshi:0.17.1/|70015|63949|139.162.128.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
141.135.224.23|/Satoshi:0.17.1/|70015|6848|141.134.0.0/15|BE|ripencc|2011-06-20|TELENET-AS, BE
141.136.218.86|/Satoshi:0.17.1/|70015|13046|141.136.128.0/17|HR|ripencc|2011-06-29|ASN-ISKON HEP, HR
141.138.33.53|/Satoshi:0.17.1/|70015|13046|141.138.32.0/21|HR|ripencc|2011-06-29|ASN-ISKON HEP, HR
141.224.197.147|/Satoshi:0.17.1/|70015|15435|141.224.192.0/18|NL|ripencc|1990-08-03|KABELFOON DELTA Fiber Nederland, NL
142.163.88.142|/Satoshi:0.17.1/|70015|855|142.163.88.0/21|CA|arin|1992-08-26|CANET-ASN-4, CA
143.244.63.33|/Satoshi:0.17.1/|70015|60068|143.244.62.0/23|GB|ripencc|1990-10-26|CDN77 (^_^)/, GB
143.255.58.41|/Satoshi:0.17.1/|70015|33182|143.255.56.0/22|MX|lacnic|2015-11-17|DIMENOC, US
145.239.0.126|/Satoshi:0.17.1/|70015|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
146.120.14.240|/Satoshi:0.17.1/|70015|50685|146.120.14.0/24|CZ|ripencc|2011-07-12|UNITED-NETWORKS-AS, BY
146.120.244.244|/Satoshi:0.17.1/|70015|57197|146.120.244.0/24|CZ|ripencc|2011-07-12|SOYUZTELECOM-AS, UA
148.255.151.230|/Satoshi:0.17.1/|70015|6400|148.255.0.0/16|DO|lacnic|2014-04-14|Compania Dominicana de Telefonos S. A., DO
149.202.78.163|/Satoshi:0.17.1/|70015|16276|149.202.0.0/16|FR|ripencc|1999-04-26|OVH, FR
151.15.97.175|/Satoshi:0.17.1/|70015|1267|151.15.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, IT
151.239.222.35|/Satoshi:0.17.1/|70015|58224|151.239.220.0/22|IR|ripencc|2012-08-15|TCI, IR
151.82.92.201|/Satoshi:0.17.1/|70015|1267|151.82.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, IT
154.21.22.249|/Satoshi:0.17.1/|70015|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.236.158.246|/Satoshi:0.17.1/|70015|36992|154.236.152.0/21|EG|afrinic|2017-02-07|ETISALAT-MISR, EG
154.9.128.26|/Satoshi:0.17.1/|70015|174|154.9.0.0/16|US|arin|1992-02-05|COGENT-174, US
155.4.217.63|/Satoshi:0.17.1/|70015|8473|155.4.0.0/16|NO|ripencc|1991-10-30|BAHNHOF http://www.bahnhof.net/, SE
155.93.212.68|/Satoshi:0.17.1/|70015|37680|155.93.208.0/20|ZA|afrinic|2016-02-04|COOL-IDEAS, ZA
159.65.115.140|/Satoshi:0.17.1/|70015|14061|159.65.112.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
161.97.164.80|/Satoshi:0.17.1/|70015|51167|161.97.160.0/20|DE|ripencc|1992-06-23|CONTABO, DE
162.207.41.224|/Satoshi:0.17.1/|70015|7018|162.192.0.0/12|US|arin|2013-03-01|ATT-INTERNET4, US
162.239.104.200|/Satoshi:0.17.0/|70015|7018|162.224.0.0/12|US|arin|2013-05-21|ATT-INTERNET4, US
163.158.220.66|/Satoshi:0.17.1/|70015|15435|163.158.0.0/16|NL|ripencc|1992-09-01|KABELFOON DELTA Fiber Nederland, NL
168.235.105.132|/Satoshi:0.17.1/|70015|3842|168.235.104.0/22|US|arin|2014-06-26|RAMNODE, US
168.235.70.129|/Satoshi:0.17.1/|70015|3842|168.235.68.0/22|US|arin|2014-06-26|RAMNODE, US
172.105.182.91|/Satoshi:0.17.1/|70015|63949|172.105.160.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
172.117.166.56|/Satoshi:0.17.0/|70015|20001|172.112.0.0/13|US|arin|2015-06-19|TWC-20001-PACWEST, US
