# https://chainz.cryptoid.info/ and whois results
# Wincoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
111.15.200.237|/WinCoin:4.0.0/|69697|24444|111.15.128.0/17|CN|apnic|2009-05-06|CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited, CN
113.138.218.160|/WinCoin:4.0.0/|69697|4134|113.136.0.0/13|CN|apnic|2008-11-06|CHINANET-BACKBONE No.31,Jin-rong Street, CN
113.138.218.237|/WinCoin:4.0.0/|69697|4134|113.136.0.0/13|CN|apnic|2008-11-06|CHINANET-BACKBONE No.31,Jin-rong Street, CN
144.0.26.25|/WinCoin:4.0.0/|69697|4134|144.0.0.0/16|CN|apnic|2011-03-29|CHINANET-BACKBONE No.31,Jin-rong Street, CN
202.184.108.122|/WinCoin:4.0.0/|69697|9930|202.184.96.0/19|MY|apnic|1995-10-09|TTNET-MY TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah Alam Selangor, Malaysia, MY
202.184.202.185|/WinCoin:4.0.0/|69697|9930|202.184.0.0/15|MY|apnic|1995-10-09|TTNET-MY TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah Alam Selangor, Malaysia, MY
202.184.203.219|/WinCoin:4.0.0/|69697|9930|202.184.0.0/15|MY|apnic|1995-10-09|TTNET-MY TIME dotCom Berhad, MY
202.185.204.38|/WinCoin:4.0.0/|69697|9930|202.184.0.0/15|MY|apnic|1995-10-09|TTNET-MY TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah Alam Selangor, Malaysia, MY
223.79.200.182|/WinCoin:4.0.0/|69697|24444|223.79.0.0/16|CN|apnic|2010-07-01|CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited, CN
39.86.121.155|/WinCoin:4.0.0/|69697|4837|39.64.0.0/11|CN|apnic|2011-03-30|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
58.18.66.86|/WinCoin:4.0.0/|69697|4837|58.18.0.0/16|CN|apnic|2005-03-01|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
