# https://chainz.cryptoid.info/ and whois results
# Wagerr
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.248.199.159|/Wagerr Core:3.1.0/|70927|14061|104.248.192.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
109.49.168.26|/Wagerr Core:3.1.0/|70927|2860|109.49.128.0/18|PT|ripencc|2009-10-19|NOS_COMUNICACOES, PT
111.231.141.238|/Wagerr Core:3.1.0/|70927|45090|111.231.140.0/22|CN|apnic|2009-07-28|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
113.118.227.30|/Wagerr Core:3.1.0/|70927|4134|113.112.0.0/13|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
125.105.53.70|/Wagerr Core:3.1.0/|70927|4134|125.104.0.0/13|CN|apnic|2005-08-26|CHINANET-BACKBONE No.31,Jin-rong Street, CN
129.28.33.183|/Wagerr Core:3.1.0/|70927|45090|129.28.32.0/20|CN|apnic|1989-11-01|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
134.209.23.111|/Wagerr Core:3.1.0/|70927|14061|134.209.16.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.244.72|/Wagerr Core:3.1.0/|70927|14061|134.209.240.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
140.143.234.20|/Wagerr Core:3.1.0/|70927|45090|140.143.232.0/22|CN|apnic|2011-03-10|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
140.143.234.28|/Wagerr Core:3.1.0/|70927|45090|140.143.232.0/22|CN|apnic|2011-03-10|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
148.251.236.234|/Wagerr Core:3.1.0/|70927|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
148.70.186.225|/Wagerr Core:3.1.0/|70927|45090|148.70.176.0/20|CN|apnic|1991-04-11|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
157.230.17.185|/Wagerr Core:3.1.0/|70927|14061|157.230.16.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
157.245.35.211|/Wagerr Core:3.1.0/|70927|14061|157.245.32.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
159.65.10.17|/Wagerr Core:3.1.0/|70927|14061|159.65.0.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
165.22.237.240|/Wagerr Core:3.1.0/|70927|14061|165.22.224.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
167.71.198.77|/Wagerr Core:3.1.0/|70927|14061|167.71.192.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
167.71.72.147|/Wagerr Core:3.1.0/|70927|14061|167.71.64.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
176.253.76.215|/Wagerr Core:3.1.0/|70927|5607|176.248.0.0/13|GB|ripencc|2011-12-05|BSKYB-BROADBAND-AS, GB
176.31.193.5|/Wagerr Core:3.1.0/|70927|16276|176.31.0.0/16|FR|ripencc|2011-05-20|OVH, FR
176.9.143.10|/Wagerr Core:3.1.0/|70927|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.128.230.194|/Wagerr Core:3.1.0/|70927|14061|178.128.224.0/20|NL|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
178.62.209.226|/Wagerr Core:3.1.0/|70927|14061|178.62.192.0/18|EU|ripencc|2010-02-26|DIGITALOCEAN-ASN, US
188.166.35.150|/Wagerr Core:3.1.0/|70927|14061|188.166.0.0/18|NL|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
199.247.26.104|/Wagerr Core:3.1.0/|70927|20473|199.247.24.0/21|EU|ripencc|1996-04-09|AS-CHOOPA, US
199.247.27.22|/Wagerr Core:3.1.0/|70927|20473|199.247.24.0/21|EU|ripencc|1996-04-09|AS-CHOOPA, US
206.189.153.92|/Wagerr Core:3.1.0/|70927|14061|206.189.144.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
207.154.246.229|/Wagerr Core:3.1.0/|70927|14061|207.154.240.0/20|US|arin|2016-04-12|DIGITALOCEAN-ASN, US
24.27.40.198|/Wagerr Core:3.1.0/|70927|11427|24.27.0.0/17|US|arin|2000-06-09|TWC-11427-TEXAS, US
35.182.147.233|/Wagerr Core:3.1.0/|70927|16509|35.182.0.0/15|US|arin|2016-08-09|AMAZON-02, US
35.237.89.27|/wagerr-seeder:0.01/|70927|15169|35.236.0.0/14|US|arin|2017-09-29|GOOGLE, US
35.241.196.250|/Wagerr Core:3.0.0/|70926|15169|35.240.0.0/14|US|arin|2017-09-29|GOOGLE, US
40.117.251.125|/Wagerr Core:3.1.0/|70927|8075|40.112.0.0/13|US|arin|2015-02-23|MICROSOFT-CORP-MSN-AS-BLOCK, US
40.142.162.62|/Wagerr Core:3.1.0/|70927|7029|40.142.128.0/17|US|arin|2012-11-13|WINDSTREAM, US
45.139.212.24|/Wagerr Core:3.1.0/|70927|6799|45.139.212.0/22|GR|ripencc|2019-08-09|OTENET-GR Athens - Greece, GR
5.175.2.240|/Wagerr Core:3.1.0/|70927|8972|5.175.0.0/20|DE|ripencc|2012-08-01|GD-EMEA-DC-SXB1, DE
51.178.139.114|/Wagerr Core:3.1.0/|70927|16276|51.178.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.178.139.117|/Wagerr Core:3.1.0/|70927|16276|51.178.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.68.137.111|/Wagerr Core:3.1.0/|70927|16276|51.68.0.0/16|FR|ripencc|1993-09-01|OVH, FR
66.42.36.100|/Wagerr Core:3.0.99/|70927|20473|66.42.32.0/20|US|apnic|2010-11-10|AS-CHOOPA, US
67.242.119.71|/Wagerr Core:3.1.0/|70927|11351|67.242.0.0/16|US|arin|2008-02-27|TWC-11351-NORTHEAST, US
68.183.201.179|/Wagerr Core:3.1.0/|70927|14061|68.183.192.0/20|US|arin|2018-09-18|DIGITALOCEAN-ASN, US
70.32.0.78|/Wagerr Core:3.0.1/|70926|32181|70.32.0.0/22|US|arin|2015-08-06|ASN-GIGENET, US
71.95.193.15|/Wagerr Core:3.1.0/|70927|20115|71.95.192.0/19|US|arin|2005-05-19|CHARTER-20115, US
80.90.62.124|/Wagerr Core:3.1.0/|70927|9008|80.90.32.0/19|LU|ripencc|2004-03-29|ASN-VO Visual Online S.A. Luxembourg, LU
88.196.55.103|/Wagerr Core:3.1.0/|70927|3249|88.196.0.0/16|EE|ripencc|2005-12-08|ESTPAK, EE
88.198.91.154|/Wagerr Core:3.1.0/|70927|24940|88.198.0.0/16|DE|ripencc|2005-12-27|HETZNER-AS, DE
88.99.160.94|/Wagerr Core:3.1.0/|70927|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
88.99.214.9|/Wagerr Core:3.1.0/|70927|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
88.99.30.218|/Wagerr Core:3.1.0/|70927|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
89.73.51.132|/Wagerr Core:3.1.0/|70927|6830|89.72.0.0/13|PL|ripencc|2006-02-22|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
