# https://chainz.cryptoid.info/ and whois results
# Magi
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.15.39.79|/m-core:1.4.6.2/|71065|701|100.15.0.0/16|US|arin|2010-12-28|UUNET, US
101.53.235.81|/m-core:1.4.6.2/|71065|9541|101.53.235.0/24|PK|apnic|2011-02-02|CYBERNET-AP Cyber Internet Services (Pvt) Ltd., PK
102.157.17.20|/m-core:1.4.6.2/|71065|37705|102.157.0.0/17|TN|afrinic|2018-03-02|TOPNET, TN
102.158.77.140|/m-core:1.4.6.2/|71065|37705|102.158.0.0/17|TN|afrinic|2018-03-02|TOPNET, TN
104.128.225.215|/m-core:1.4.6.2/|71065|7489|104.128.224.0/22|US|arin|2014-06-04|HOSTUS-GLOBAL-AS HostUS, HK
104.131.5.234|/m-core:1.4.6.2/|71065|14061|104.131.0.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.166.244.37|/m-core:1.4.6.2/|71065|30036|104.166.240.0/20|US|arin|2014-08-19|MEDIACOM-ENTERPRISE-BUSINESS, US
104.167.108.80|/m-core:1.4.6.2/|71065|31798|104.167.108.0/24|CA|arin|2014-08-27|CANAD-86-31798, CA
105.184.150.3|/m-core:1.4.6.2/|71065|37457|105.184.0.0/16|ZA|afrinic|2013-11-18|Telkom-Internet, ZA
109.174.125.199|/m-core:1.4.6.2/|71065|30922|109.174.0.0/17|RU|ripencc|2009-12-03|SIBELTELECOM-AS, RU
109.201.133.24|/m-core:1.4.6.2/|71065|43350|109.201.128.0/19|NL|ripencc|2010-02-12|NFORCE, NL
109.201.133.26|/m-core:1.4.6.2/|71065|43350|109.201.128.0/19|NL|ripencc|2010-02-12|NFORCE, NL
109.40.242.59|/m-core:1.4.6.2/|71065|3209|109.40.0.0/13|DE|ripencc|2009-11-04|VODANET International IP-Backbone of Vodafone, DE
146.198.145.197|/m-core:1.4.6.2/|71065|6871|146.198.0.0/16|US|arin|1991-02-28|PLUSNET UK Internet Service Provider, GB
148.252.133.130|/m-core:1.4.6.2/|71065|25135|148.252.132.0/23|GB|ripencc|1993-09-01|VODAFONE_UK_ASN, GB
149.56.155.28|/m-core:1.4.6.2/|71065|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
161.53.40.242|/m-core:1.4.6.2/|71065|2108|161.53.0.0/16|HR|ripencc|1993-09-01|CARNET-AS J.Marohnica 5, 10000 Zagreb, HR
163.172.122.60|/m-core:1.4.6.2/|71065|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
170.0.56.221|/m-core:1.4.6.2/|71065|263328|170.0.56.0/23|BR|lacnic|2016-05-11|Panda Network, BR
173.249.41.89|/m-core:1.4.6.2/|71065|51167|173.249.40.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.44.55.179|/m-core:1.4.6.2/|71065|8100|173.44.48.0/20|US|arin|2010-01-11|ASN-QUADRANET-GLOBAL, US
173.72.22.244|/m-core:1.4.6.2/|71065|701|173.72.0.0/17|US|arin|2008-08-11|UUNET, US
175.144.111.193|/m-core:1.4.6.2/|71065|4788|175.144.64.0/18|MY|apnic|2010-01-08|TMNET-AS-AP TM Net, Internet Service Provider, MY
176.192.41.182|/m-core:1.4.6.2/|71065|12714|176.192.0.0/15|RU|ripencc|2011-07-07|TI-AS Moscow, Russia, RU
176.94.16.165|/m-core:1.4.6.2/|71065|3209|176.94.0.0/17|DE|ripencc|2011-07-11|VODANET International IP-Backbone of Vodafone, DE
178.206.234.125|/m-core:1.4.6.2/|71065|28840|178.206.224.0/20|RU|ripencc|2010-03-31|TATTELECOM-AS, RU
185.107.95.228|/m-core:1.4.6.2/|71065|43350|185.107.92.0/22|NL|ripencc|2015-07-03|NFORCE, NL
185.37.117.230|/m-core:1.4.6.2/|71065|197075|185.37.116.0/22|IT|ripencc|2013-10-11|ACTIVENETWORK-AS Active Network S.p.A., IT
185.37.119.211|/m-core:1.4.6.2/|71065|197075|185.37.116.0/22|IT|ripencc|2013-10-11|ACTIVENETWORK-AS Active Network S.p.A., IT
185.59.20.214|/m-core:1.4.6.2/|71065|197075|185.59.20.0/22|IT|ripencc|2014-05-27|ACTIVENETWORK-AS Active Network S.p.A., IT
185.69.145.0|/m-core:1.4.6.2/|71065|25135|185.69.144.0/22|GB|ripencc|2014-09-09|VODAFONE_UK_ASN, GB
188.187.144.47|/m-core:1.4.6.2/|71065|41786|188.187.144.0/22|RU|ripencc|2009-06-19|ERTH-YOLA-AS, RU
188.187.144.48|/m-core:1.4.6.2/|71065|41786|188.187.144.0/22|RU|ripencc|2009-06-19|ERTH-YOLA-AS, RU
188.2.136.174|/m-core:1.4.6.2/|71065|31042|188.2.128.0/17|RS|ripencc|2009-02-12|SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS
188.227.45.37|/m-core:1.4.6.2/|71065|50258|188.227.44.0/22|RU|ripencc|2009-07-22|TEYLA, RU
193.80.74.101|/m-core:1.4.6.2/|71065|1901|193.80.0.0/15|AT|ripencc|1993-09-01|EUNETAT-AS A1 Telekom Austria AG, AT
194.59.204.105|/m-core:1.4.6.2/|71065|197540|194.59.204.0/22|DE|ripencc|2018-09-24|NETCUP-AS netcup GmbH, DE
195.239.7.195|/m-core:1.4.6.2/|71065|3216|195.239.0.0/16|RU|ripencc|1997-12-10|SOVAM-AS, RU
196.52.2.79|/m-core:1.4.6.2/|71065|32780|196.52.2.0/24|ZA|afrinic|1995-10-09|HOSTINGSERVICES-INC, US
2.204.219.219|/m-core:1.4.6.2/|71065|3209|2.204.0.0/14|DE|ripencc|2010-11-18|VODANET International IP-Backbone of Vodafone, DE
200.118.153.216|/m-core:1.4.6.2/|71065|10620|200.118.152.0/22|CO|lacnic|2005-02-16|Telmex Colombia S.A., CO
204.111.241.83|/m-core:1.4.6.2/|71065|4922|204.111.128.0/17|US|arin|1995-05-03|SHENTEL, US
216.211.0.165|/m-core:1.4.6.2/|71065|32277|216.211.0.0/17|CA|arin|1999-03-29|TBAYTEL, CA
217.100.21.99|/m-core:1.4.6.2/|71065|33915|217.100.0.0/17|NL|ripencc|2000-12-05|TNF-AS, NL
217.107.115.117|/m-core:1.4.6.2/|71065|12389|217.107.64.0/18|RU|ripencc|2000-12-20|ROSTELECOM-AS, RU
217.112.36.195|/m-core:1.4.6.2/|71065|40966|217.112.36.0/23|GB|ripencc|2004-01-22|VALUEHOST-AS ValueHOST Cloud Network, RU
217.146.82.127|/m-core:1.4.6.2/|71065|25369|217.146.80.0/20|GB|ripencc|2004-04-21|BANDWIDTH-AS, GB
218.214.105.208|/m-core:1.4.6.2/|71065|9443|218.214.0.0/16|AU|apnic|2003-06-19|INTERNETPRIMUS-AS-AP Primus Telecommunications, AU
24.246.38.229|/m-core:1.4.6.2/|71065|5645|24.246.0.0/18|CA|arin|2010-10-26|TEKSAVVY, CA
24.7.111.177|/m-core:1.4.6.2/|71065|7922|24.0.0.0/12|US|arin|2003-10-06|COMCAST-7922, US
31.40.114.103|/m-core:1.4.6.2/|71065|56761|31.40.112.0/20|RU|ripencc|2011-05-05|MULTINEX-MIASS-AS, RU
31.49.226.152|/m-core:1.4.6.2/|71065|2856|31.48.0.0/13|GB|ripencc|2010-12-31|BT-UK-AS BTnet UK Regional network, GB
35.129.7.204|/m-core:1.4.6.2/|71065|20115|35.129.0.0/18|US|arin|2017-06-30|CHARTER-20115, US
37.214.23.158|/m-core:1.4.6.2/|71065|6697|37.214.20.0/22|BY|ripencc|2012-03-30|BELPAK-AS BELPAK, BY
37.228.237.103|/m-core:1.4.6.2/|71065|6830|37.228.224.0/19|IE|ripencc|2012-04-11|LGI-UPC formerly known as UPC Broadband Holding B.V., AT
37.235.199.194|/m-core:1.4.6.2/|71065|41268|37.235.128.0/17|RU|ripencc|2012-04-16|LANTA-AS, RU
42.191.67.11|/m-core:1.4.6.2/|71065|4788|42.191.64.0/18|MY|apnic|2011-03-09|TMNET-AS-AP TM Net, Internet Service Provider, MY
46.101.235.143|/m-core:1.4.6.2/|71065|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.65.154.175|/m-core:1.4.6.2/|71065|5607|46.64.0.0/15|GB|ripencc|2010-06-04|BSKYB-BROADBAND-AS, GB
46.88.163.118|/m-core:1.4.6.2/|71065|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
46.94.69.143|/m-core:1.4.6.2/|71065|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
46.95.223.186|/m-core:1.4.6.2/|71065|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
47.148.172.226|/m-core:1.4.6.2/|71065|5650|47.144.0.0/13|US|arin|2015-08-28|FRONTIER-FRTR, US
47.196.93.33|/m-core:1.4.6.2/|71065|5650|47.196.0.0/14|US|arin|2015-08-28|FRONTIER-FRTR, US
47.205.230.199|/m-core:1.4.6.2/|71065|5650|47.205.0.0/16|US|arin|2015-08-28|FRONTIER-FRTR, US
49.195.67.200|/m-core:1.4.6.2/|71065|4804|49.195.0.0/17|AU|apnic|2010-12-02|MPX-AS Microplex PTY LTD, AU
5.18.249.130|/m-core:1.4.6.2/|71065|41733|5.18.249.0/24|RU|ripencc|2012-04-27|ZTELECOM-AS, RU
54.88.55.124|/m-core:1.4.6.2/|71065|14618|54.88.0.0/16|US|arin|2013-11-25|AMAZON-AES, US
59.138.13.202|/m-core:1.4.6.2/|71065|2516|59.138.0.0/16|JP|apnic|2004-10-19|KDDI KDDI CORPORATION, JP
62.176.239.21|/m-core:1.4.6.2/|71065|9136|62.176.224.0/19|DE|ripencc|2003-04-11|WOBCOM, DE
