# https://chainz.cryptoid.info/ and whois results
# Experience Points
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.22.146.19|???|0|45447|103.22.144.0/22|AU|apnic|2011-06-16|YLESS4U-AS-AP YLess4U Regional Broadband, AU
104.148.41.156|/eXperience Points Core:3.4.0.1/|70917|46573|104.148.41.0/24|US|arin|2014-07-07|LAYER-HOST, US
104.148.41.80|/eXperience Points Core:3.4.0.1/|70917|46573|104.148.41.0/24|US|arin|2014-07-07|LAYER-HOST, US
104.237.1.88|/eXperience Points Core:3.4.0.1/|70917|29802|104.237.1.0/24|US|arin|2014-11-03|HVC-AS, US
104.237.10.60|/eXperience Points Core:3.4.0.1/|70917|394727|104.237.10.0/24|US|arin|2014-11-03|NODISTO, US
104.237.10.69|/eXperience Points Core:3.4.0.1/|70917|394727|104.237.10.0/24|US|arin|2014-11-03|NODISTO, US
104.237.5.119|/eXperience Points Core:3.4.0.1/|70917|394727|104.237.5.0/24|US|arin|2014-11-03|NODISTO, US
104.237.9.210|/eXperience Points Core:3.4.0.1/|70917|394727|104.237.9.0/24|US|arin|2014-11-03|NODISTO, US
108.61.211.10|/eXperience Points Core:3.4.0.3/|70917|20473|108.61.210.0/23|US|arin|2010-12-08|AS-CHOOPA, US
110.134.240.63|/eXperience Points Core:3.4.0.1/|70917|9824|110.134.0.0/16|JP|apnic|2009-04-16|JTCL-JP-AS Jupiter Telecommunication Co. Ltd, JP
111.169.3.120|/eXperience Points Core:3.4.0.2/|70917|2518|111.168.0.0/15|JP|apnic|2009-05-21|BIGLOBE BIGLOBE Inc., JP
117.233.100.137|/eXperience Points Core:3.4.0.2/|70917|9829|117.233.96.0/20|IN|apnic|2007-08-01|BSNL-NIB National Internet Backbone, IN
117.58.153.38|/eXperience Points Core:3.4.0.1/|70917|59108|117.58.152.0/21|JP|apnic|2007-07-06|KATCH-NET KATCH NETWORK INC., JP
120.51.41.148|/eXperience Points Core:3.4.0.2/|70917|2519|120.51.0.0/16|JP|apnic|2008-03-20|VECTANT ARTERIA Networks Corporation, JP
121.200.35.253|/eXperience Points Core:3.4.0.2/|70917|10214|121.200.35.0/24|AU|apnic|2006-10-10|PENTANET-AS-AP Pentanet Pty Ltd - bringing Perth_s internet up to speed, AU
121.80.239.156|/eXperience Points Core:3.4.0.2/|70917|17511|121.80.0.0/14|JP|apnic|2006-06-13|OPTAGE OPTAGE Inc., JP
121.83.35.90|/eXperience Points Core:3.4.0.1/|70917|17511|121.80.0.0/14|JP|apnic|2006-06-13|OPTAGE OPTAGE Inc., JP
122.130.50.161|/eXperience Points Core:3.4.0.3/|70917|2518|122.130.0.0/15|JP|apnic|2006-12-14|BIGLOBE BIGLOBE Inc., JP
122.255.150.3|/eXperience Points Core:3.4.0.1/|70917|4721|122.255.128.0/18|JP|apnic|2006-12-04|JCN Jupiter Telecommunications Co., Ltd., JP
123.255.135.194|/eXperience Points Core:3.4.0.1/|70917|9374|123.255.128.0/18|JP|apnic|2008-11-18|EDION EDION Corporation, JP
