# https://chainz.cryptoid.info/ and whois results
# VirtacoinPlus
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
123.204.84.44|/xvp client:3.0.0/|60013|4780|123.204.64.0/19|TW|apnic|2006-12-28|SEEDNET Digital United Inc., TW
123.208.82.124|/xvp client:3.0.0/|60013|135887|123.208.0.0/16|AU|apnic|2007-02-09|TELSTRA-BELONG-AP Telstra Corporation, AU
136.50.79.99|/xvp client:3.0.0/|60013|16591|136.50.64.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
154.160.11.87|/xvp client:3.0.0/|60013|30986|154.160.11.0/24|GH|afrinic|2017-03-30|SCANCOM, GH
154.160.24.251|/xvp client:3.0.0/|60013|30986|154.160.24.0/24|GH|afrinic|2017-03-30|SCANCOM, GH
154.160.3.2|/xvp client:3.0.0/|60013|30986|154.160.3.0/24|GH|afrinic|2017-03-30|SCANCOM, GH
154.160.4.223|/xvp client:3.0.0/|60013|30986|154.160.4.0/24|GH|afrinic|2017-03-30|SCANCOM, GH
174.101.67.134|/xvp client:3.1.0/|60013|10796|174.101.0.0/17|US|arin|2009-02-26|TWC-10796-MIDWEST, US
184.22.40.223|/xvp client:3.0.0/|60013|133481|184.22.40.0/22|TH|apnic|2001-11-01|AIS-FIBRE-AS-AP AIS Fibre, TH
187.204.48.101|/xvp client:3.0.0/|60013|8151|187.204.48.0/23|MX|lacnic|2011-06-06|Uninet S.A. de C.V., MX
188.40.78.31|/xvp client:3.1.0/|60013|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
189.163.37.41|/xvp client:3.0.0/|60013|8151|189.163.36.0/22|MX|lacnic|2006-05-12|Uninet S.A. de C.V., MX
189.163.40.140|/xvp client:3.0.0/|60013|8151|189.163.40.0/21|MX|lacnic|2006-05-12|Uninet S.A. de C.V., MX
213.226.169.81|/xvp client:3.0.0/|60013|13194|213.226.128.0/18|LT|ripencc|2002-05-03|BITE Bite IP Network, LT
217.103.221.7|/xvp client:3.1.0/|60013|6830|217.103.128.0/17|NL|ripencc|2000-12-05|LGI-UPC formerly known as UPC Broadband Holding B.V., AT
218.250.200.139|/xvp client:3.0.0/|60013|4760|218.250.192.0/19|HK|apnic|2004-07-20|HKTIMS-AP HKT Limited, HK
36.65.2.146|/xvp client:3.0.0/|60013|7713|36.65.0.0/20|ID|apnic|2011-01-14|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
41.215.171.86|/xvp client:3.0.0/|60013|37030|41.215.171.0/24|GH|afrinic|2008-07-22|Airtel-Ghana, GH
41.215.173.103|/xvp client:3.0.0/|60013|37030|41.215.173.0/24|GH|afrinic|2008-07-22|Airtel-Ghana, GH
41.215.173.82|/xvp client:3.0.0/|60013|37030|41.215.173.0/24|GH|afrinic|2008-07-22|Airtel-Ghana, GH
41.215.173.86|/xvp client:3.0.0/|60013|37030|41.215.173.0/24|GH|afrinic|2008-07-22|Airtel-Ghana, GH
46.101.235.143|/xvp client:3.0.0/|60013|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.119.133.89|/xvp client:3.0.0/|60013|15895|46.118.0.0/15|UA|ripencc|2010-05-17|KSNET-AS, UA
