# https://chainz.cryptoid.info/ and whois results
# Zcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
128.199.28.138|/Satoshi:0.14.0.5/|90030|14061|128.199.16.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
142.93.109.51|/Satoshi:0.14.0.5/|90030|14061|142.93.96.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
149.28.127.116|/Satoshi:0.14.0.3/|90030|20473|149.28.112.0/20|US|arin|2018-05-04|AS-CHOOPA, US
158.69.174.182|/Satoshi:0.14.0.5/|90030|16276|158.69.0.0/16|CA|arin|2015-06-15|OVH, FR
159.65.3.119|/Satoshi:0.14.0.5/|90030|14061|159.65.0.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
165.22.226.63|/Satoshi:0.14.0.5/|90030|14061|165.22.224.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
167.71.215.13|/Satoshi:0.14.0.5/|90030|14061|167.71.208.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
168.119.4.156|/Satoshi:0.14.0.1/|90030|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
185.247.118.174|/Satoshi:0.14.0.3/|90030|47447|185.247.118.0/24|NL|ripencc|2018-03-01|TTM, DE
192.121.133.10|/Satoshi:0.14.0.3/|90030|39806|192.121.133.0/24|SE|ripencc|2000-03-17|ADMAX, SE
23.239.3.224|/Satoshi:0.14.0.5/|90030|63949|23.239.3.0/24|US|arin|2013-10-23|LINODE-AP Linode, LLC, US
23.95.122.144|/Satoshi:0.14.0.3/|90030|36352|23.95.112.0/20|US|arin|2013-08-16|AS-COLOCROSSING, US
34.105.105.183|/Satoshi:0.14.0.5/|90030|15169|34.104.0.0/14|US|arin|2018-09-28|GOOGLE, US
45.79.228.130|/Satoshi:0.14.0.5/|90030|63949|45.79.224.0/21|US|arin|2015-04-29|LINODE-AP Linode, LLC, US
47.75.188.57|/Satoshi:0.14.0.3/|90030|45102|47.75.128.0/17|US|arin|2016-03-17|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
51.178.68.80|/Satoshi:0.14.0.5/|90030|16276|51.178.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.89.99.162|/Satoshi:0.14.0.5/|90030|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
92.101.236.250|/Satoshi:0.14.0.5/|90030|12389|92.101.192.0/18|RU|ripencc|2008-04-04|ROSTELECOM-AS, RU
