# https://chainz.cryptoid.info/ and whois results
# ZeitCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.174.177.221|/Gauntlet_WIN:2.0.2.1/|60009|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
110.175.64.145|/Gauntlet_WIN:2.0.2.1/|60009|7545|110.175.64.0/24|AU|apnic|2009-05-08|TPG-INTERNET-AP TPG Telecom Limited, AU
114.142.173.36|/Gauntlet_WIN:2.0.2.1/|60009|45727|114.142.173.0/24|ID|apnic|2017-02-03|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
116.206.15.62|/Gauntlet_WIN:2.0.2.1/|60009|45727|116.206.15.0/24|ID|apnic|2017-02-03|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
172.87.223.66|???|0|26658|172.87.192.0/19|US|arin|2015-05-19|HENGTONG-IDC-LLC, US
173.73.29.29|/Gauntlet_WIN:2.0.2.1/|60009|701|173.73.0.0/16|US|arin|2008-08-11|UUNET, US
174.29.98.140|/Gauntlet_WIN:2.0.2.1/|60009|209|174.29.0.0/16|US|arin|2009-02-17|CENTURYLINK-US-LEGACY-QWEST, US
176.116.124.16|/Gauntlet_WIN:2.0.2.1/|60009|36492|176.116.124.0/24|US|ripencc|2012-05-07|GOOGLEWIFI, US
176.213.92.118|/Gauntlet_WIN:2.0.2.1/|60009|57026|176.213.92.0/22|RU|ripencc|2011-09-28|CHEB-AS, RU
178.66.205.200|/Gauntlet_WIN:2.0.2.1/|60009|12389|178.66.0.0/16|RU|ripencc|2010-01-05|ROSTELECOM-AS, RU
181.165.182.229|/Gauntlet_WIN:2.0.2.1/|60009|7303|181.165.160.0/19|AR|lacnic|2011-12-28|Telecom Argentina S.A., AR
181.45.180.188|/Gauntlet_WIN:2.0.2.1/|60009|27747|181.45.176.0/20|AR|lacnic|2013-12-16|Telecentro S.A., AR
185.169.233.191|/Gauntlet_MAC:2.0.2.1/|60009|62240|185.169.232.0/22|GB|ripencc|2016-09-27|CLOUVIDER Clouvider - Global ASN, GB
212.24.109.82|/Gauntlet_LINUX:2.0.2.1/|60009|62282|212.24.96.0/20|LT|ripencc|1999-08-16|RACKRAY UAB Rakrejus, LT
24.147.15.98|/Gauntlet_WIN:2.0.2.1/|60009|7922|24.147.0.0/16|US|arin|1999-10-13|COMCAST-7922, US
45.171.172.108|/Gauntlet_WIN:2.0.2.1/|60009|52862|45.171.172.0/22|BR|lacnic|2019-02-21|Redenilf Servicos de Telecomunicacoes Ltda, BR
46.101.235.143|/Gauntlet_LINUX:2.0.2.1/|60009|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
69.30.211.114|/Gauntlet_LINUX:2.0.2.1/|60009|32097|69.30.192.0/18|US|arin|2004-03-16|WII, US
82.64.185.60|/Gauntlet_WIN:2.0.2.1/|60009|12322|82.64.0.0/14|FR|ripencc|2003-04-03|PROXAD, FR
87.78.236.145|/Gauntlet_WIN:2.0.2.1/|60009|8422|87.78.0.0/15|DE|ripencc|2005-05-31|NETCOLOGNE, DE
90.253.23.169|/Gauntlet_WIN:2.0.2.1/|60009|5378|90.252.0.0/14|GB|ripencc|2006-09-08|Vodafone, GB
91.113.5.249|/Gauntlet_WIN:2.0.2.1/|60009|8447|91.112.0.0/14|AT|ripencc|2006-09-04|A1TELEKOM-AT A1 Telekom Austria AG, AT
91.113.78.202|/Gauntlet_WIN:2.0.2.1/|60009|8447|91.112.0.0/14|AT|ripencc|2006-09-04|A1TELEKOM-AT A1 Telekom Austria AG, AT
94.75.219.211|/Gauntlet_WIN:2.0.2.1/|60009|60781|94.75.192.0/18|NL|ripencc|2008-07-24|LEASEWEB-NL-AMS-01 Netherlands, NL
95.216.158.51|/Gauntlet_LINUX:2.0.2.1/|60009|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.78.80|/Gauntlet_LINUX:2.0.2.1/|60009|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
