# https://chainz.cryptoid.info/ and whois results
# Zetacoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.103.55.65|/Satoshi:0.13.2.1/|70015|9050|109.103.0.0/16|RO|ripencc|2009-07-21|RTD Bucharest, Romania, RO
112.194.228.140|/Satoshi:0.13.2.1/|70015|4837|112.192.0.0/14|CN|apnic|2009-02-10|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
112.226.108.200|/Satoshi:0.13.2.1/|70015|4837|112.224.0.0/11|CN|apnic|2009-02-11|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.153.227.12|/Satoshi:0.13.2.1/|70015|4837|123.152.0.0/13|CN|apnic|2007-02-28|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
130.255.78.182|/Satoshi:0.13.2.1/|70015|29141|130.255.72.0/21|DE|ripencc|2012-08-01|BKVG-AS, DE
136.24.44.100|/Satoshi:0.13.2.1/|70015|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
138.43.233.57|/Satoshi:0.13.2.1/|70015|394147|138.43.233.0/24|US|arin|2019-04-15|MVLINK, US
141.237.123.153|/Satoshi:0.13.2.1/|70015|3329|141.237.112.0/20|GR|ripencc|2011-07-04|HOL-GR Athens, Greece, GR
155.94.145.122|/Satoshi:0.13.2.1/|70015|8100|155.94.145.0/24|US|arin|2014-06-11|ASN-QUADRANET-GLOBAL, US
155.94.146.204|/Satoshi:0.13.2.1/|70015|8100|155.94.146.0/24|US|arin|2014-06-11|ASN-QUADRANET-GLOBAL, US
162.201.128.229|/Satoshi:0.13.2.1/|70015|7018|162.192.0.0/12|US|arin|2013-03-01|ATT-INTERNET4, US
162.251.172.87|/Satoshi:0.13.2.1/|70015|40749|162.251.172.0/22|US|arin|2014-01-10|CDELIGHTBAND, US
164.68.110.224|/Satoshi:0.13.2.1/|70015|51167|164.68.110.0/23|DE|ripencc|1992-12-17|CONTABO, DE
171.42.134.56|/Satoshi:0.13.2.1/|70015|4134|171.42.0.0/16|CN|apnic|2011-03-25|CHINANET-BACKBONE No.31,Jin-rong Street, CN
173.174.192.153|/Satoshi:0.13.2.1/|70015|11427|173.172.0.0/14|US|arin|2009-04-14|TWC-11427-TEXAS, US
175.5.65.105|/Satoshi:0.13.2.1/|70015|4134|175.0.0.0/12|CN|apnic|2009-12-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
178.59.168.123|/Satoshi:0.13.2.1/|70015|3329|178.59.160.0/19|GR|ripencc|2010-02-08|HOL-GR Athens, Greece, GR
178.59.53.76|/Satoshi:0.13.2.1/|70015|3329|178.59.52.0/22|GR|ripencc|2010-02-08|HOL-GR Athens, Greece, GR
