# Bitnodes https://bitnodes.io/api/v1/snapshots/
# Time 1589457317
IP Address|Port|Protocol Version|User Agent|Connected Since|Services|Height|Hostname|City|Country Code|Latitude|Longitude|Timezone|ASN|Organization Name
22avjqm5gdejvkny.onion|8333|70015|/Satoshi:0.18.1/|1589456656|1037|630337|None|None|None|0.0|0.0|None|TOR|Tor network
22tg6ufbwz6o3l2u.onion|8333|70015|/Satoshi:0.19.0.1(@wiz)/|1588676344|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
23vmzukjvih4ssva.onion|8333|70015|/Satoshi:0.18.0/|1588929606|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
26suaasojyjmao5n.onion|8333|70015|/Satoshi:0.19.1/|1588971285|1033|630289|None|None|None|0.0|0.0|None|TOR|Tor network
2a02:1205:34df:4620:471f:d1ac:c535|8333|70015|/Satoshi:0.19.0.1/|1589310149|1033|630337|dynamic.wline.6rd.res.cust.swisscom.ch|Feldbrunnen|CH|47.2202|7.5549|Europe/Zurich|AS3303|Bluewin
2bfmlpk55hffpl6e.onion|8333|70015|/Satoshi:0.19.0.1/|1588987686|1033|630291|None|None|None|0.0|0.0|None|TOR|Tor network
2cinr6kgp7f2sefm.onion|8333|70015|/Satoshi:0.18.0/|1588763753|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
2cuqtkocbfbng4tk.onion|8333|70015|/Satoshi:0.19.1/|1588866706|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
2lf2aclmc6iklkrp.onion|8333|70015|/Satoshi:0.18.1/|1588417501|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
2oto56pfhjfi4zlk.onion|8333|70015|/Satoshi:0.18.1/|1588770981|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
2qudbhlnvqpli3sz.onion|8333|70015|/Satoshi:0.20.0/|1589332327|1033|630337|None|None|None|0.0|0.0|None|TOR|Tor network
2uef6mokstx5bon4.onion|8333|70015|/Satoshi:0.17.1/|1588810588|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
2w6qevynurqy3qzx.onion|8333|70015|/Satoshi:0.18.1/|1588630455|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
2zndatxfidey7ccl.onion|8333|70015|/Satoshi:0.18.0/|1588987028|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
32zhwozw4pxpeh2t.onion|8333|70015|/Satoshi:0.19.0.1/|1588414308|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
35piv6pkintvfj7y.onion|8333|70015|/Satoshi:0.19.0.1/|1588710310|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
37x356t2ybx2cmiw.onion|8333|70015|/Satoshi:0.18.1/|1588420383|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
3efohggvhxact4dz.onion|8333|70015|/Satoshi:0.18.0/|1589027031|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
3eg5mkkelldqydx2.onion|8333|70015|/Satoshi:0.18.1/|1588663866|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
3frtobxxkgkhwjx7.onion|8333|70015|/Satoshi:0.18.0/|1588998428|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
3qbe5ib6prunzltz.onion|8333|70015|/Satoshi:0.18.1/|1589438663|1037|630312|None|None|None|0.0|0.0|None|TOR|Tor network
3r44ddzjitznyahw.onion|8333|70015|/Satoshi:0.19.0.1/|1588793968|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
3r4juwdtjs25fdgq.onion|8333|70015|/Satoshi:0.18.1/|1589455385|1037|630337|None|None|None|0.0|0.0|None|TOR|Tor network
3vpwkbivtn2awrel.onion|8333|70015|/Satoshi:0.19.1/|1589333814|1033|630291|None|None|None|0.0|0.0|None|TOR|Tor network
42gvftscpogwr4l6.onion|8333|70015|/Satoshi:0.19.1/|1588798670|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
43qg7o64kfuutois.onion|8333|70015|/Satoshi:0.18.1/|1588417500|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
44hovu46dmeeeoty.onion|8333|70015|/Satoshi:0.18.1/|1589054067|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
4girwyf6rdc4mff4.onion|8333|70015|/Satoshi:0.18.1/|1588850552|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
4kkr77tdzmbvj3w5.onion|8333|70015|/Satoshi:0.18.1/|1589042303|1037|630313|None|None|None|0.0|0.0|None|TOR|Tor network
4n2la6kkypv2255i.onion|8333|70015|/Satoshi:0.19.1/|1588999437|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
4rto2p3px2ga73at.onion|8333|70015|/Satoshi:0.19.0.1/|1588917287|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
4v6hm2imxxm5tt6i.onion|8333|70015|/Satoshi:0.19.0.1/|1588665016|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
4wx34hn3kybujklg.onion|8333|70015|/Satoshi:0.18.1/|1589438993|1037|630337|None|None|None|0.0|0.0|None|TOR|Tor network
4yeukghqwgnb3teh.onion|8333|70015|/Satoshi:0.18.1/|1588932501|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
52unuecowvoiyyx4.onion|8333|70015|/Satoshi:0.19.1/|1588504222|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
54wbbg5guycykuoi.onion|8333|70015|/Satoshi:0.19.1/|1589447246|1033|630337|None|None|None|0.0|0.0|None|TOR|Tor network
56agedasth3wlzoi.onion|8333|70015|/Satoshi:0.18.1/|1588421684|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
56ps3wev46lmem57.onion|8333|70015|/Satoshi:0.19.0.1/|1589419238|1033|630292|None|None|None|0.0|0.0|None|TOR|Tor network
5cxl5mffj7gal5xr.onion|8333|70015|/Satoshi:0.18.0/|1589044130|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
5dejfrmwtlvtztui.onion|8333|70015|/Satoshi:0.19.1/|1588687474|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
5kujjdyuflhybpdz.onion|8333|70015|/Satoshi:0.18.1/|1588939400|1037|0|None|None|None|0.0|0.0|None|TOR|Tor network
5nooqgct567ig57v.onion|8333|70015|/Satoshi:0.19.1/|1588413305|1033|0|None|None|None|0.0|0.0|None|TOR|Tor network
