# https://chainz.cryptoid.info/ and whois results
# Manna
# Time 1588231201
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
117.5.146.210|/Manna:0.8.2/|70001|7552|117.5.146.0/24|VN|apnic|2007-05-21|VIETEL-AS-AP Viettel Group, VN
139.59.208.156|/Manna:0.8.2/|70001|14061|139.59.208.0/21|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
146.185.147.22|/Manna:0.8.3/|70001|14061|146.185.128.0/19|NL|ripencc|2011-07-13|DIGITALOCEAN-ASN, US
159.89.160.125|/Satoshi:0.8.2/Manna:0.8.2(v0.8.2.0-unk-legacy-beta)/|60004|14061|159.89.160.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
178.199.89.100|/Manna:0.8.2/|70001|3303|178.198.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom (Switzerland) Ltd, CH
192.241.132.222|/Manna:0.8.3/|70001|14061|192.241.128.0/19|US|arin|2013-06-10|DIGITALOCEAN-ASN, US
2.28.6.224|/Manna:0.8.3/|70001|12576|2.28.0.0/16|GB|ripencc|2010-09-21|EE Ltd, GB
213.167.12.37|/Manna:0.8.2/|70001|28909|213.167.12.0/24|BG|ripencc|2004-10-14|BG-TVSAT-AS, BG
46.101.247.93|/Manna:0.8.2/|70001|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
47.155.124.77|/Manna:0.8.2/|70001|5650|47.152.0.0/14|US|arin|2015-08-28|FRONTIER-FRTR, US
50.225.198.67|/Manna:0.8.3/|70001|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
52.42.102.242|/Manna:0.8.3/|70001|16509|52.40.0.0/14|US|arin|2015-09-02|AMAZON-02, US
61.68.212.160|/Manna:0.8.2/|70001|7545|61.68.208.0/21|AU|apnic|2001-04-09|TPG-INTERNET-AP TPG Telecom Limited, AU
66.42.45.28|/Manna:0.8.3/|70001|20473|66.42.32.0/20|US|apnic|2010-11-10|AS-CHOOPA, US
76.220.3.86|/Manna:0.8.2/|70001|7018|76.220.0.0/15|US|arin|2006-09-15|ATT-INTERNET4, US
80.201.98.165|/Manna:0.8.2/|70001|5432|80.200.0.0/15|BE|ripencc|2001-11-08|PROXIMUS-ISP-AS, BE
85.19.25.38|/Satoshi:0.8.2/Manna:0.8.2(v0.8.2.0-unk-legacy-beta)/|60004|3292|85.19.0.0/16|NO|ripencc|2005-03-16|TDC TDC A/S, DK
87.13.89.158|/Manna:0.8.2/|70001|3269|87.13.0.0/17|IT|ripencc|2005-07-13|ASN-IBSNAZ, IT
95.217.78.169|/Grantcoin:0.7.0/|70001|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
96.22.71.149|/Manna:0.8.2/|70001|5769|96.22.64.0/18|CA|arin|2007-10-30|VIDEOTRON, CA
97.80.184.175|/Manna:0.8.3/|70001|20115|97.80.128.0/18|US|arin|2007-03-21|CHARTER-20115, US
98.227.188.181|/Manna:0.8.2/|70001|7922|98.192.0.0/10|US|arin|2007-04-20|COMCAST-7922, US
99.231.126.82|/Manna:0.8.2/|70001|812|99.231.96.0/19|CA|arin|2007-03-12|ROGERS-COMMUNICATIONS, CA
