# https://chains.trittium.cc/ and whois results
# CROWN
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
136.243.142.35|9340|/Crown Core:0.14.0.2/|70058|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
167.114.14.195|9340|/Crown Core:0.14.0.1/|70058|16276|167.114.0.0/17|CA|arin|2014-08-29|OVH, FR
178.63.236.99|9340|/Crown Core:0.14.0.2/|70058|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
188.40.168.51|9340|/Crown Core:0.14.0.2/|70058|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
213.133.110.230|9340|/Crown Core:0.14.0.1/|70058|24940|213.133.96.0/19|DE|ripencc|2002-05-23|HETZNER-AS, DE
217.61.58.74|9340|/Crown Core:0.14.0.2/|70058|202242|217.61.56.0/21|IT|ripencc|2000-11-01|ARUBA-CLOUD, IT
5.9.252.251|9340|/Crown Core:0.14.0.2/|70058|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
62.113.241.2|9340|/Crown Core:0.14.0/|70058|47447|62.113.192.0/18|DE|ripencc|2009-04-15|TTM, DE
80.211.2.168|9340|/Crown Core:0.14.0.2/|70058|31034|80.211.0.0/17|IT|ripencc|2001-12-12|ARUBA-ASN, IT
92.60.44.118|9340|/Crown Core:0.14.0.2/|70058|60945|92.60.44.0/22|GB|ripencc|2018-08-24|VELOXSERV VeloxServ Communications Ltd, GB
95.216.170.154|9340|/Crown Core:0.14.0.1/|70058|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.125.107|9340|/Crown Core:0.14.0.2/|70058|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
