# https://chains.trittium.cc/ and whois results
# DAPSCoin
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
144.202.61.249|53572|/DAPS:1.0.6.6/|70913|20473|144.202.48.0/20|US|arin|2018-02-05|AS-CHOOPA, US
164.68.113.168|53572|/DAPS:1.0.6.5/|70913|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.127.216|53572|/DAPS:1.0.6.5/|70913|51167|167.86.126.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.215.168|53572|/DAPS:1.0.6.5/|70913|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.249.14.93|53572|/DAPS:1.0.6.5/|70913|51167|173.249.14.0/23|DE|ripencc|2010-05-26|CONTABO, DE
185.170.114.123|53572|/DAPS:1.0.6.6/|70913|197540|185.170.112.0/22|DE|ripencc|2016-09-29|NETCUP-AS netcup GmbH, DE
207.180.249.225|53572|/DAPS:1.0.5.8/|70913|51167|207.180.248.0/23|DE|ripencc|1996-08-21|CONTABO, DE
54.36.175.160|53572|/DAPS:1.0.6.6/|70913|16276|54.36.0.0/16|FR|ripencc|1992-03-17|OVH, FR
73.26.164.232|53572|/DAPS:1.0.6.6/|70913|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
76.168.71.120|53572|/DAPS:1.0.6.6/|70913|20001|76.168.0.0/13|US|arin|2006-07-26|TWC-20001-PACWEST, US
81.111.168.229|53572|/DAPS:1.0.6.6/|70913|5089|81.110.0.0/15|GB|ripencc|2002-06-14|NTL, GB
81.7.11.22|53572|/DAPS:1.0.6.6/|70913|35366|81.7.0.0/18|DE|ripencc|2009-09-18|ISPPRO-AS ISPPRO-AS covers the networks of ISPpro, DE
83.128.32.211|53572|/DAPS:1.0.6.6/|70913|15435|83.128.0.0/16|NL|ripencc|2004-01-05|KABELFOON DELTA Fiber Nederland, NL
96.39.162.2|53572|/DAPS:1.0.6.5/|70913|20115|96.39.160.0/19|US|arin|2007-12-19|CHARTER-20115, US
