# https://chains.trittium.cc/ and whois results
# Dashgreen
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
167.86.110.137|22332|/DashGreen Core:1.0.0/|70220|51167|167.86.110.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.246.105|22332|/DashGreen Core:1.0.0/|70220|51167|173.212.240.0/21|DE|ripencc|2009-10-26|CONTABO, DE
173.249.42.127|22332|/DashGreen Core:1.0.0/|70220|51167|173.249.42.0/23|DE|ripencc|2010-05-26|CONTABO, DE
185.240.174.213|22332|/DashGreen Core:1.0.0/|70220|13030|185.240.172.0/22|CH|ripencc|2018-01-11|INIT7, CH
188.225.83.40|22332|/DashGreen Core:1.0.0/|70220|9123|188.225.83.0/24|RU|ripencc|2009-06-22|TIMEWEB-AS, RU
45.32.76.228|22332|/DashGreen Core:1.0.0/|70220|20473|45.32.64.0/19|US|arin|2015-02-17|AS-CHOOPA, US
51.75.71.80|22332|/DashGreen Core:1.0.0/|70220|16276|51.75.0.0/16|FR|ripencc|1993-09-01|OVH, FR
62.75.223.184|22332|/DashGreen Core:1.0.0/|70220|8972|62.75.216.0/21|DE|ripencc|2001-07-27|GD-EMEA-DC-SXB1, DE
79.143.185.85|22332|/DashGreen Core:1.0.0/|70220|51167|79.143.184.0/23|DE|ripencc|2010-01-08|CONTABO, DE
85.25.154.102|22332|/DashGreen Core:1.0.0/|70220|8972|85.25.152.0/22|DE|ripencc|2005-12-05|GD-EMEA-DC-SXB1, DE
89.40.117.51|22332|/DashGreen Core:1.0.0/|70220||||||
91.198.220.74|22332|/DashGreen Core:1.0.0/|70220|49392|91.198.220.0/24|RU|ripencc|2019-11-07|ASBAXETN, RU
