# https://chains.trittium.cc/ and whois results
# Documentchain
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.253.40.171|41319|/DMS Core:0.12.16/|70210|133398|103.253.40.0/24|HK|apnic|2013-11-11|TELE-AS Tele Asia Limited, HK
138.201.226.142|41319|/DMS Core:0.12.15/|70210|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
167.86.90.88|41319|/DMS Core:0.12.16/|70210|51167|167.86.90.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.249.51.154|41319|/DMS Core:0.12.16/|70210|51167|173.249.50.0/23|DE|ripencc|2010-05-26|CONTABO, DE
176.107.130.26|41319|/DMS Core:0.12.16/|70210|205727|176.107.128.0/19|IT|ripencc|2012-01-27|ARUBA, PL
185.162.249.139|41319|/DMS Core:0.12.16/|70210|197540|185.162.248.0/22|DE|ripencc|2016-08-11|NETCUP-AS netcup GmbH, DE
185.196.3.5|41319|/DMS Core:0.12.16/|70210|35913|185.196.3.0/24|DE|ripencc|2019-01-07|DEDIPATH-LLC, US
207.180.225.117|41319|/DMS Core:0.12.16/|70210|51167|207.180.224.0/23|DE|ripencc|1996-08-21|CONTABO, DE
5.181.50.36|41319|/DMS Core:0.12.14/|70210|197540|5.181.48.0/22|DE|ripencc|2019-04-02|NETCUP-AS netcup GmbH, DE
51.210.55.208|41319|/DMS Core:0.12.15/|70210|16276|51.210.0.0/16|FR|ripencc|1993-09-01|OVH, FR
81.3.13.178|41319|/DMS Core:0.12.16/|70210|24679|81.3.0.0/18|DE|ripencc|2002-04-08|SSERV-AS, DE
82.118.245.197|41319|/DMS Core:0.12.16/|70210|203380|82.118.245.0/24|BG|ripencc|2004-02-13|DAINTERNATIONALGROUP, GB
85.217.170.99|41319|/DMS Core:0.12.16/|70210|44901|85.217.170.0/24|CY|ripencc|2005-01-18|BELCLOUD, BG
91.48.221.214|41319|/DMS Core:0.12.16/|70210|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
93.115.23.124|41319|/DMS Core:0.12.16/|70210|202448|93.115.23.0/24|GB|ripencc|2007-12-21|MVPS https://www.mvps.net, EU
95.216.143.13|41319|/DMS Core:0.12.16/|70210|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
