# https://chains.trittium.cc/ and whois results
# ESBC Platform
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.61.99.231|32322|/ESBC Core:2.1.0.2/|70223|20473|108.61.98.0/23|US|arin|2010-12-08|AS-CHOOPA, US
136.244.100.82|32322|/ESBC Core:2.1.0.2/|70223|20473|136.244.96.0/20|US|arin|2019-04-08|AS-CHOOPA, US
144.91.84.13|32322|/ESBC Core:2.1.0.2/|70223|51167|144.91.84.0/23|DE|ripencc|1990-11-20|CONTABO, DE
149.28.62.110|32322|/ESBC Core:2.1.0.2/|70223|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
167.86.109.168|32322|/ESBC Core:2.1.0.2/|70223|51167|167.86.108.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.249.9.73|32322|/ESBC Core:2.2.0/|70223|51167|173.249.8.0/23|DE|ripencc|2010-05-26|CONTABO, DE
194.187.187.123|32322|/ESBC Core:2.1.0.2/|70223|3209|194.187.184.0/22|DE|ripencc|2005-09-09|VODANET International IP-Backbone of Vodafone, DE
194.32.78.209|32322|/ESBC Core:2.1.0.2/|70223|202448|194.32.78.0/24|DE|ripencc|2018-05-15|MVPS https://www.mvps.net, EU
217.69.10.80|32322|/ESBC Core:2.1.0.2/|70223|20473|217.69.0.0/20|FR|ripencc|2000-11-16|AS-CHOOPA, US
51.158.65.65|32322|/ESBC Core:2.1.0.2/|70223|12876|51.158.0.0/15|FR|ripencc|1993-09-01|Online SAS, FR
62.171.141.141|32322|/ESBC Core:2.1.0.1/|70223|51167|62.171.140.0/23|DE|ripencc|2000-08-18|CONTABO, DE
79.143.178.152|32322|/ESBC Core:2.1.0.2/|70223|51167|79.143.178.0/23|DE|ripencc|2010-01-08|CONTABO, DE
80.211.33.128|32322|/ESBC Core:2.1.0.2/|70223|31034|80.211.0.0/17|IT|ripencc|2001-12-12|ARUBA-ASN, IT
85.94.179.79|32322|/ESBC Core:2.1.0.2/|70223|6752|85.94.176.0/22|AD|ripencc|2005-01-04|ANDORRA Andorra Telecom, AD
94.156.144.2|32322|/ESBC Core:2.1.0.2/|70223|44901|94.156.144.0/24|BG|ripencc|2008-08-27|BELCLOUD, BG
95.213.195.135|32322|/ESBC Core:2.1.0.2/|70223|49505|95.213.195.0/24|RU|ripencc|2009-08-12|SELECTEL, RU
