# https://chains.trittium.cc/ and whois results
# Find Your Developer
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
136.244.103.215|37485|/FydCoin Core:1.2.3/|71000|20473|136.244.96.0/20|US|arin|2019-04-08|AS-CHOOPA, US
140.82.29.181|37485|/FydCoin Core:1.2.1/|71000|20473|140.82.24.0/21|US|arin|2018-03-15|AS-CHOOPA, US
144.202.26.133|37485|/FydCoin Core:1.2.1/|71000|20473|144.202.16.0/20|US|arin|2018-02-05|AS-CHOOPA, US
144.91.77.104|37485|/FydCoin Core:1.2.2/|71000|51167|144.91.76.0/23|DE|ripencc|1990-11-20|CONTABO, DE
155.138.150.133|37485|/FydCoin Core:1.2.3/|71000|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US
164.68.105.189|37485|/FydCoin Core:1.2.3/|71000|51167|164.68.104.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.106.237|37485|/FydCoin Core:1.2.3/|71000|51167|167.86.106.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.98.179|37485|/FydCoin Core:2.0.0/|71000|51167|167.86.98.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.243.180|37485|/FydCoin Core:1.2.2/|71000|51167|173.212.240.0/21|DE|ripencc|2009-10-26|CONTABO, DE
178.157.82.58|37485|/FydCoin Core:1.2.3/|71000|202448|178.157.82.0/24|DE|ripencc|2010-06-28|MVPS https://www.mvps.net, EU
2.56.212.178|37485|/FydCoin Core:1.2.3/|71000|202448|2.56.212.0/24|NL|ripencc|2019-03-15|MVPS https://www.mvps.net, EU
213.136.71.178|37485|/FydCoin Core:1.2.2/|71000|51167|213.136.70.0/23|DE|ripencc|2000-02-28|CONTABO, DE
40.85.72.35|37485|/FydCoin Core:1.2.1/|71000|8075|40.64.0.0/10|US|arin|2015-02-23|MICROSOFT-CORP-MSN-AS-BLOCK, US
45.76.190.96|37485|/FydCoin Core:1.2.3/|71000|20473|45.76.176.0/20|US|arin|2015-04-24|AS-CHOOPA, US
47.190.133.197|37485|/FydCoin Core:1.2.3/|71000|5650|47.190.132.0/23|US|arin|2015-08-28|FRONTIER-FRTR, US
78.141.200.80|37485|/FydCoin Core:1.2.1/|71000|20473|78.141.192.0/20|FR|ripencc|2007-07-30|AS-CHOOPA, US
