# https://chains.trittium.cc/ and whois results
# Gentarium
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
116.203.200.139|27117|/Gentarium Core:2.3.0.1/|70919|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
159.69.193.179|27117|/Gentarium Core:2.3.0.1/|70919|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
167.86.109.22|27117|/Gentarium Core:2.3.0.1/|70919|51167|167.86.108.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.201.15|27117|/Gentarium Core:2.3.0.1/|70919|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
185.39.195.183|27117|/Gentarium Core:2.3.0.1/|70919|42775|185.39.192.0/22|RU|ripencc|2013-11-05|DSRT-NET, RU
194.182.76.210|27117|/Gentarium Core:2.3.0.1/|70919|24806|194.182.64.0/19|IT|ripencc|1996-02-14|INTERNET-CZ Ktis 2, 384 03 Ktis, CZ
212.237.8.46|27117|/Gentarium Core:2.3.0.1/|70919|31034|212.237.0.0/18|IT|ripencc|1998-09-25|ARUBA-ASN, IT
37.153.6.105|27117|/Gentarium Core:2.3.0.1/|70919|196750|37.153.0.0/18|RU|ripencc|2012-03-13|SETI-WEBA, RU
54.36.175.160|27117|/Gentarium Core:2.3.0.1/|70919|16276|54.36.0.0/16|FR|ripencc|1992-03-17|OVH, FR
60.248.85.69|27117|/Gentarium Core:2.3.0.1/|70919|3462|60.248.0.0/16|TW|apnic|2004-10-29|HINET Data Communication Business Group, TW
60.250.171.242|27117|/Gentarium Core:2.3.0.1/|70919|3462|60.250.0.0/16|TW|apnic|2006-07-31|HINET Data Communication Business Group, TW
62.176.17.72|27117|/Gentarium Core:2.3.0.1/|70919|34456|62.176.16.0/20|RU|ripencc|2006-10-20|RIALCOM-AS, RU
62.99.205.195|27117|/Gentarium Core:2.3.0.1/|70919|6830|62.99.192.0/18|AT|ripencc|2001-07-30|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
85.113.60.204|27117|/Gentarium Core:2.3.0.1/|70919|34533|85.113.32.0/19|RU|ripencc|2005-02-08|ESAMARA-AS, RU
95.165.145.111|27117|/Gentarium Core:2.3.0.1/|70919|25513|95.165.0.0/16|RU|ripencc|2009-01-27|ASN-MGTS-USPD, RU
95.216.32.169|27117|/Gentarium Core:2.3.0.1/|70919|24940|95.216.0.0/17|DE|ripencc|2009-02-24|HETZNER-AS, DE
