# https://chains.trittium.cc/ and whois results
# PIVX
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.128.239.48|51472||0|7489|104.128.239.0/24|US|arin|2014-06-04|HOSTUS-GLOBAL-AS HostUS, HK
104.156.252.95|51472||0|20473|104.156.252.0/23|US|arin|2014-07-22|AS-CHOOPA, US
108.61.89.245|51472||0|20473|108.61.64.0/19|US|arin|2010-12-08|AS-CHOOPA, US
136.244.110.65|51472||0|20473|136.244.96.0/20|US|arin|2019-04-08|AS-CHOOPA, US
155.138.165.154|51472||0|20473|155.138.160.0/20|US|arin|2018-12-05|AS-CHOOPA, US
168.119.6.101|51472||0|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
173.212.208.43|51472||0|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
185.203.116.16|51472||0|44901|185.203.116.0/24|CY|ripencc|2017-05-12|BELCLOUD, BG
198.23.228.100|51472||0|36352|198.23.228.0/24|US|arin|2012-10-05|AS-COLOCROSSING, US
206.189.130.58|51472||0|14061|206.189.128.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
207.148.69.162|51472||0|20473|207.148.64.0/20|US|apnic|1996-06-07|AS-CHOOPA, US
213.59.123.98|51472||0|35913|213.59.123.0/24|CY|ripencc|2000-02-24|DEDIPATH-LLC, US
217.69.13.165|51472||0|20473|217.69.0.0/20|FR|ripencc|2000-11-16|AS-CHOOPA, US
45.32.221.217|51472||0|20473|45.32.208.0/20|US|arin|2015-02-17|AS-CHOOPA, US
67.205.161.93|51472||0|14061|67.205.160.0/20|US|arin|2016-04-12|DIGITALOCEAN-ASN, US
78.47.143.61|51472||0|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
95.179.167.128|51472||0|20473|95.179.160.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
