# https://chains.trittium.cc/ and whois results
# Sapphire
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.102.47.225|45328|/Sap Core:1.3.0/|70922|23734|103.102.47.0/24|GI|apnic|2017-10-11|NETROUTINGINC-AS-AP Netrouting Inc, US
103.125.216.138|45328|/Sap Core:1.3.0/|70922|38001|103.125.216.0/24|NL|apnic|2018-11-22|NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd, SG
173.249.60.152|45328|/Sap Core:1.3.1/|70923|51167|173.249.60.0/23|DE|ripencc|2010-05-26|CONTABO, DE
178.157.82.58|45328|/Sap Core:1.3.0/|70922|202448|178.157.82.0/24|DE|ripencc|2010-06-28|MVPS https://www.mvps.net, EU
185.234.52.105|45328|/Sap Core:1.3.0/|70922|202448|185.234.52.0/24|GB|ripencc|2017-11-28|MVPS https://www.mvps.net, EU
194.32.78.162|45328|/Sap Core:1.3.0/|70922|202448|194.32.78.0/24|DE|ripencc|2018-05-15|MVPS https://www.mvps.net, EU
194.37.80.5|45328|/Sap Core:1.3.0/|70922|47447|194.37.80.0/24|NL|ripencc|2018-05-16|TTM, DE
198.244.120.179|45328|/Sap Core:1.3.1/|70923|32614|198.244.112.0/20|US|arin|2013-02-07|HDISS-NET, US
2.56.212.178|45328|/Sap Core:1.3.0/|70922|202448|2.56.212.0/24|NL|ripencc|2019-03-15|MVPS https://www.mvps.net, EU
3.134.116.154|45328|/Sap Core:1.3.0/|70922|16509|3.132.0.0/14|US|arin|2018-06-25|AMAZON-02, US
45.153.187.62|45328|/Sap Core:1.3.0/|70922|202448|45.153.187.0/24|BG|ripencc|2019-09-13|MVPS https://www.mvps.net, EU
45.16.103.138|45328|/Sap Core:1.3.1/|70923|7018|45.16.0.0/12|US|arin|2014-12-11|ATT-INTERNET4, US
5.9.65.185|45328|/Sap Core:1.3.0/|70922|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
51.161.11.183|45328|/Sap Core:1.3.0.1/|70922|16276|51.161.0.0/17|CA|arin|2019-09-03|OVH, FR
80.211.14.42|45328|/Sap Core:1.3.1/|70923|31034|80.211.0.0/17|IT|ripencc|2001-12-12|ARUBA-ASN, IT
95.179.219.169|45328|/Sap Core:1.3.0/|70922|20473|95.179.208.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
