# https://chains.trittium.cc/ and whois results
# SysCoin coin
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.160.134.107|8369|/Satoshi:4.1.3/|70015|20473|108.160.128.0/20|US|arin|2011-10-07|AS-CHOOPA, US
116.203.90.67|8369|/Satoshi:4.1.3/|70015|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
136.243.29.221|8369|/Satoshi:4.1.3/|70015|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
149.28.173.112|8369|/Satoshi:4.0.3/|70015|20473|149.28.160.0/19|US|arin|2018-05-04|AS-CHOOPA, US
165.22.57.179|8369|/Satoshi:4.1.3/|70015|14061|165.22.48.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
167.71.5.24|8369|/Satoshi:4.1.3/|70015|14061|167.71.0.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
173.249.54.125|8369|/Satoshi:4.1.3/|70015|51167|173.249.54.0/23|DE|ripencc|2010-05-26|CONTABO, DE
178.128.45.235|8369|/Satoshi:4.1.3/|70015|14061|178.128.32.0/20|NL|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
178.238.237.166|8369|/Satoshi:4.1.3/|70015|51167|178.238.236.0/23|DE|ripencc|2010-07-28|CONTABO, DE
178.63.236.127|8369|/Satoshi:4.1.3/|70015|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
188.40.182.204|8369|/Satoshi:4.1.3/|70015|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
46.4.217.236|8369|/Satoshi:4.1.3/|70015|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE
5.181.48.131|8369|/Satoshi:4.1.3/|70015|197540|5.181.48.0/22|DE|ripencc|2019-04-02|NETCUP-AS netcup GmbH, DE
66.70.164.176|8369|/Satoshi:4.1.3/|70015|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
80.241.213.200|8369|/Satoshi:4.1.3/|70015|51167|80.241.212.0/23|DE|ripencc|2011-02-14|CONTABO, DE
95.216.230.114|8369|/Satoshi:4.1.3/|70015|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.48.109|8369|/Satoshi:4.1.3/|70015|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
