# https://chains.trittium.cc/ and whois results
# DigitalNote coin
IP Address|Port|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
13.75.214.0|18092|/DigitalNoteoshi:1.0.2.5/|62020|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
142.44.198.148|18092|/DigitalNoteoshi:1.0.2.5/|62020|16276|142.44.128.0/17|CA|arin|2017-06-21|OVH, FR
142.93.201.211|18092|/DigitalNoteoshi:1.0.2.5/|62020|14061|142.93.192.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
157.245.87.215|18092|/DigitalNoteoshi:1.0.2.5/|62020|14061|157.245.80.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
159.203.89.167|18092|/DigitalNoteoshi:1.0.2.5/|62020|14061|159.203.80.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.89.92.175|18092|/DigitalNoteoshi:1.0.2.5/|62020|14061|159.89.80.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
165.22.185.44|18092|/DigitalNoteoshi:1.0.2.5/|62020|14061|165.22.176.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
207.180.218.72|18092|/DigitalNoteoshi:1.0.2.5/|62020|51167|207.180.218.0/23|DE|ripencc|1996-08-21|CONTABO, DE
5.189.136.85|18092|/DigitalNoteoshi:1.0.2.5/|62020|51167|5.189.128.0/20|DE|ripencc|2012-08-09|CONTABO, DE
51.68.19.82|18092|/DigitalNoteoshi:1.0.2/|62017|16276|51.68.0.0/16|FR|ripencc|1993-09-01|OVH, FR
67.205.171.110|18092|/DigitalNoteoshi:1.0.2.5/|62020|14061|67.205.160.0/20|US|arin|2016-04-12|DIGITALOCEAN-ASN, US
67.207.94.33|18092|/DigitalNoteoshi:1.0.2.5/|62020|14061|67.207.80.0/20|US|arin|2016-04-12|DIGITALOCEAN-ASN, US
